"id","name","weight"
1,"Alpha",263
2,"Athenea",125
3,"Caminos. Revista Quincenal de Letras",31
4,"Claridad: revista semanal",283
5,"Cvltura. Revista mensual",114
6,"Cyrano",110
7,"Cántico",13
8,"El Montañés",68
9,"El Repertorio. Revista Mensual Ilustrada",79
10,"Hispania",273
11,"Hojas de Poesía",15
12,"La Bohemia Alegre",32
13,"La Buena Lectura",173
14,"La Escuela Literaria. Publicación mensual",16
15,"La Golondrina. Hoja literaria y de variedades",41
16,"La Gruta",82
17,"La Revista",152
18,"Lectura Amena",150
19,"Lectura y Arte",84
20,"Panida",68
21,"Revista Contemporánea",40
22,"Revista Contemporánea. Publicación mensual",69
23,"Revista Femenina",111
24,"Revista Gris",115
25,"Revista Literaria. Publicación Mensual",229
26,"Revista Moderna. (Enciclopedia colombiana)",140
27,"Sábado Revista Semanal",542
28,"Trofeos",94
29,"A.",1
30,"A. A. J.",1
31,"A. de M.",1
32,"A. G.",1
33,"A. H.",3
34,"A. Z.",1
35,"Abad",3
36,"Abella-Nouvrac, Louis",4
37,"Abella Mendoza, Temístocles",8
38,"Acab Ibisabizurri, Miguel",1
39,"Acebal, Francisco",2
40,"Acevedo Bernal, Ricardo",3
41,"Acevedo, Arturo",1
42,"Acevedo, Graciliano",1
43,"Acosta de Samper, Soledad",4
44,"Acosta y Bello, José Agustín",1
45,"Acosta, Javier",16
46,"Adiante, Tomás",1
47,"Agudelo Mejía, Rosa",1
48,"Agudelo, Gilberto",6
49,"Agudelo, Gregorio",6
50,"Agudelo, Miguel",1
51,"Agudelo, Rafael",1
52,"Aguilera Herrera, Benjamín",4
53,"Aguirre, Carlos Arturo",3
54,"Agustín",1
55,"Aimayaga, Juan de",1
56,"Alarcón, Pedro Antonio de",3
57,"Alas, Leopoldo",3
58,"Alba Barrenechea, Antonio",1
59,"Alba, E.",1
60,"Albalat, Antoine",2
61,"Alberdi, Juan Bautista",1
62,"Albert, Caterina",1
63,"Alcalá Galiano, José",1
64,"Alcántara Jurado, Francisco",1
65,"Alemán, Mateo",1
66,"Alexis Rostand, Edmond Eugène",2
67,"Aliatar, Alí-Ben",13
68,"Allais, Alphonse",2
69,"Altamira, Rafael",7
70,"Altenberg, Peter",5
71,"Altomare, Libero",1
72,"Álvarez Bonilla, Enrique",2
73,"Álvarez C., Manuel J.",1
74,"Álvarez del Vayo, Julio",1
75,"Álvarez Lleras, Antonio",1
76,"Álvarez Quintero, Joaquín",5
77,"Álvarez Quintero, Serafín",5
78,"Álvarez R., Lisandro",22
79,"Álvarez Ríos, María",5
80,"Álvarez, Antonio",8
81,"Álvarez, Bernardo",1
82,"Alzate B., Delio",1
83,"Alzate Noreña, Luis",12
84,"Amaru",4
85,"Amaya, Euquerio",2
86,"Americus",2
87,"Amézaga, Carlos Germán",1
88,"Amicis, Edmondo de",4
89,"Amiel, Henri-Frédéric",1
90,"Ancízar, Roberto",2
91,"Anderson Morúa, Luis",1
92,"Andrade Coello, Alejandro",1
93,"Andrade Marín, Francisco",2
94,"Andrade, José Arturo",3
95,"Andreev, Leonid Nikolaevich",2
96,"Andreis, Fernando de",2
97,"Ángel Montoya, Alberto",1
98,"Ángel, Juan E.",1
99,"Angell, George Thorndike",1
100,"Angulo J., Enriqueta",4
101,"Angulo Peláez, Ligia",3
102,"Antoine",2
103,"Antommarchi de Rojas, Dorila",2
104,"Aparicio, Alberto",1
105,"Aponte, E.",1
106,"Aragonés, Eutiquio",1
107,"Aramburo Restrepo, Gabriel",2
108,"Arango Echeverri, Alcides",5
109,"Arango Ferrer, Javier",6
110,"Arango Jaramillo, Adelfa",11
111,"Arango Lalinde, Rafael",1
112,"Arango M., Miguel",1
113,"Arango Mejía, Gabriel",4
114,"Arango Mejía, Juan Bautista",2
115,"Arango Ochoa, Eduardo",1
116,"Arango R., José Manuel",3
117,"Arango, Jorge Luis",1
118,"Arango, Olga",1
119,"Arango, Pedro C.",2
120,"Araquistáin, Luis",21
121,"Arboleda, Arturo",1
122,"Arbós y Góngora",4
123,"Arce, Julio César",9
124,"Archer, William",1
125,"Arcila, Aníbal",1
126,"Arciniegas, Germán",6
127,"Arciniegas, Ismael Enrique",13
128,"Arenal, Concepción",2
129,"Arguedas Díaz, Alcides",3
130,"Arias Argáez, Daniel",2
131,"Armas, Rafael de",1
132,"Arnault, Antoine-Vincent",1
133,"Arrieta, Rafael Alberto",1
134,"Arriola de Bezoita, Jesús",1
135,"Arroyal, León de",1
136,"Arteaga, Cristina de",1
137,"Arturo, Aurelio",13
138,"Asbjørnsen, Peter Christen",1
139,"Atehortua, Abelardo",4
140,"Ateneo de Buenos Aires",1
141,"Attías, Maximiliano",1
142,"Aurora",1
143,"Avalos Torrens, Pedro",1
144,"Ávila, Alfonso María de",2
145,"Aza, Vital",1
146,"Azurdia, José",2
147,"B.",1
148,"B. Isaza",18
149,"B. M.",6
150,"Bacon, Francis",1
151,"Badel Martínez, Dimas José",3
152,"Baena, Fernando E.",2
153,"Bagaría Bou, Luis",5
154,"Bahr, Hermann",1
155,"Bai, Li",1
156,"Balaguer i Cirera, Víctor",1
157,"Balart, Federico",5
158,"Balbin de Unquera, Antonio",2
159,"Balla, Giacomo",1
160,"Ballvé, Faustino",16
161,"Balseiro, José Agustín",1
162,"Baralt, Rafael María",1
163,"Baraya, Antonio",1
164,"Barbier, Auguste",1
165,"Barco, Jesús María",1
166,"Bardina Castarà, Joan",1
167,"Baring, Maurice",2
168,"Barón de Franzenstein",1
169,"Barón, Felipe",2
170,"Barrau, Théophile",1
171,"Barrenechea, Julio",16
172,"Barrera Parra, Jaime",1
173,"Barrera Vargas, Camilo",1
174,"Barrera, Carlos",1
175,"Barrès, Maurice",4
176,"Barreto, José María",1
177,"Barrett, John",1
178,"Barrett, Rafael",1
179,"Barrientos Conto, A.",2
180,"Barriga Páez, Julio",1
181,"Barriga S., R. Alberto",1
182,"Bárros, José A.",1
183,"Bartrina, Joaquín María",1
184,"Barzini, Luigi",1
185,"Basto, Carlos María",1
186,"Bataille, Henry",1
187,"Baty, Th.",2
188,"Batzojaun",1
189,"Baudelaire, Charles",2
190,"Bayona Posada, Jorge",5
191,"Bayona Posada, Nicolás",1
192,"Bazin, René",1
193,"Beaunier, André",1
194,"Beceridge, Hugh",1
195,"Becerra C., Amanda",1
196,"Becerra, Ricardo",1
197,"Becher, Johannes Robert",4
198,"Bécquer, Gustavo Adolfo",3
199,"Bedout, C. de",1
200,"Bel, León",4
201,"Bellaigue, Camile",1
202,"Bello, Andrés",1
203,"Belloc, Hilaire",1
204,"Bellom, Maurice M.",1
205,"Benavente, Jacinto",8
206,"Benet y Castellón, Eduardo",4
207,"Bengoechea, Alfredo de",4
208,"Bengoechea, Hernán de",1
209,"Berger, Eric",1
210,"Bermejo, Luis",1
211,"Bernad, Julio",1
212,"Bernal Jiménez, Rafael",1
213,"Bernal, Luis",23
214,"Bernárdez, Francisco Luis",9
215,"Berrío París, Julio",1
216,"Berthoud, Eugène",1
217,"Bértis, Juan",1
218,"Bertot, Jean",1
219,"Betancourt T., Olga",1
220,"Betancourt V., Pedro P.",1
221,"Betancourt Villegas, Félix",12
222,"Betancourt, José Luis",13
223,"Betancourt, Julio",1
224,"Betancourt, Pedro Pablo",4
