"Revista","NumContribucion","Titulo","Fasciculo","Fecha","Fecha.ISO","Colaborador","SeudonimoFirma","Sexo","PaisOrigen","Nacimiento","Muerte","Traduccion","Traductor","Lengua","LenguaOriginal","Tipo","TipoIndice","Dedicatoria","ObrasResenadas","CantitadPaginas","Paginacion"
"Alpha","142","La colación del perro (Anarquismo)","Año II. Número 14","febrero de 1907","1907-02-01","Rachilde",NA,"F","Francia","1860","1953","Sí","Anónimo","Español","Francés","Prosa Ficción",NA,"Colliere, Marcel",NA,4.3,"562-566"
"Alpha","564","Poemas en prosa","Año VI. Número 61-62","febrero de 1911","1911-02-01","Gautier, Judith",NA,"F","Francia","1845","1917","Sí","R.B.S.","Español","Francés","Poesía","Poesía",NA,NA,1,"44"
"Alpha","641","Cruz y raya","Año VI. Número 71-72","diciembre de 1911","1911-12-01","Albert, Caterina","Víctor Català","F","España","1869","1966","Sí","Anónimo","Español","Catalán","Prosa Ficción","Cuento",NA,NA,8,"460-467"
"Alpha","723","De educación femenina","Año VII. Número 81-82","noviembre de 1912","1912-11-01","Karr, Carmen",NA,"F","España","1865","1943","No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,12.5,"370-382"
"Athenea","1a",NA,"1",NA,"1927-04-01","Olózaga de Cabo, Susana",NA,"F","Colombia","1880",NA,"No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,1,NA
"Athenea","1b",NA,"1",NA,"1927-04-01","Restrepo Castro, Ana",NA,"F","Colombia",NA,NA,"No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,1,NA
"Athenea","10",NA,"1",NA,"1927-04-01","Uribe Vallejo, Fita",NA,"F","Colombia","1903",NA,"No",NA,"Español",NA,"Prosa Ficción",NA,NA,NA,0.1,"4"
"Athenea","20","Tres pajaros….","1",NA,"1927-04-01","Angulo J., Enriqueta",NA,"F","Colombia",NA,NA,"No",NA,"Español",NA,"Prosa Ficción",NA,"""A una querida amiga que cultiva la cultura y a ratos la murmuración"".",NA,1,"10"
"Athenea","23","Estímulos","1",NA,"1927-04-01","Uribe Vallejo, Fita",NA,"F","Colombia","1903",NA,"No",NA,"Español",NA,"Prosa No Ficción","Estímulos",NA,NA,0.1,"11"
"Athenea","34a",NA,"2",NA,"1927-05-01","Olózaga de Cabo, Susana",NA,"F","Colombia","1880",NA,"No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,1,NA
"Athenea","34b",NA,"2",NA,"1927-05-01","Restrepo Castro, Ana",NA,"F","Colombia",NA,NA,"No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,1,NA
"Athenea","41b","""Athenea""","2",NA,"1927-05-01","Lopera Berrío, Emilia",NA,"F","Colombia","1875","1931","No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,0.6,"21-22"
"Athenea","45","De nuestros colaboradores","2",NA,"1927-05-01","Cock Quevedo, Lucía",NA,"F","Colombia","1906","1980","No",NA,"Español",NA,"Prosa No Ficción",NA,"A Doña Susana Olózaga de Cabo y a Doña Fita Uribe",NA,0.1,"25"
"Athenea","58","Preguntas y respuestas","2",NA,"1927-05-01","Restrepo Castro, Ana",NA,"F","Colombia",NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Preguntas y respuestas",NA,NA,0.1,"31"
