"node","grado.bimodal","projecteddegree","projectedbetweenness"
"Alpha",263,26,381
"Athenea",125,25,0
"Caminos. Revista Quincenal de Letras",31,21,0
"Claridad: revista semanal",283,25,0
"Cvltura. Revista mensual",114,26,24
"Cyrano",110,22,52
"Cántico",13,7,0
"El Montañés",68,25,50
"El Repertorio. Revista Mensual Ilustrada",79,25,79
"Hispania",274,25,0
"Hojas de Poesía",15,21,27
"La Bohemia Alegre",32,21,0
"La Buena Lectura",173,23,18
"La Escuela Literaria. Publicación mensual",16,2,0
"La Golondrina. Hoja literaria y de variedades",41,17,0
"La Gruta",82,22,2
"La Revista",152,25,0
"Lectura Amena",150,26,34
"Lectura y Arte",84,27,0
"Panida",68,25,0
"Revista Contemporánea",40,16,0
"Revista Contemporánea. Publicación mensual",69,25,2
"Revista Femenina",111,25,0
"Revista Gris",115,25,63
"Revista Literaria. Publicación Mensual",229,25,2
"Revista Moderna. (Enciclopedia colombiana)",140,25,57
"Sábado Revista Semanal",542,27,411
"Trofeos",94,25,43
"A.",0,0,0
"A. A. J.",0,0,0
"A. de M.",0,0,0
"A. G.",0,0,0
"A. H.",0,0,0
"A. Z.",0,0,0
"Abad",0,0,0
"Abella-Nouvrac, Louis",0,0,0
"Abella Mendoza, Temístocles",0,0,0
"Acab Ibisabizurri, Miguel",0,0,0
"Acebal, Francisco",0,0,0
"Acevedo Bernal, Ricardo",0,0,0
"Acevedo, Arturo",0,0,0
"Acevedo, Graciliano",0,0,0
"Acosta de Samper, Soledad",0,0,0
"Acosta y Bello, José Agustín",0,0,0
"Acosta, Javier",0,0,0
"Adiante, Tomás",0,0,0
"Agudelo Mejía, Rosa",0,0,0
"Agudelo, Gilberto",0,0,0
"Agudelo, Gregorio",0,0,0
"Agudelo, Miguel",0,0,0
"Agudelo, Rafael",0,0,0
"Aguilera Herrera, Benjamín",0,0,0
"Aguirre, Carlos Arturo",0,0,0
"Agustín",0,0,0
"Aimayaga, Juan de",0,0,0
"Alarcón, Pedro Antonio de",0,0,0
"Alas, Leopoldo",0,0,0
"Alba Barrenechea, Antonio",0,0,0
"Alba, E.",0,0,0
"Albalat, Antoine",0,0,0
"Alberdi, Juan Bautista",0,0,0
"Albert, Caterina",0,0,0
"Alcalá Galiano, José",0,0,0
"Alcántara Jurado, Francisco",0,0,0
"Alemán, Mateo",0,0,0
"Alexis Rostand, Edmond Eugène",0,0,0
"Aliatar, Alí-Ben",0,0,0
"Allais, Alphonse",0,0,0
"Altamira, Rafael",0,0,0
"Altenberg, Peter",0,0,0
"Altomare, Libero",0,0,0
"Álvarez Bonilla, Enrique",0,0,0
"Álvarez C., Manuel J.",0,0,0
"Álvarez del Vayo, Julio",0,0,0
"Álvarez Lleras, Antonio",0,0,0
"Álvarez Quintero, Joaquín",0,0,0
"Álvarez Quintero, Serafín",0,0,0
"Álvarez R., Lisandro",0,0,0
"Álvarez Ríos, María",0,0,0
"Álvarez, Antonio",0,0,0
"Álvarez, Bernardo",0,0,0
"Alzate B., Delio",0,0,0
"Alzate Noreña, Luis",0,0,0
"Amaru",0,0,0
"Amaya, Euquerio",0,0,0
"Americus",0,0,0
"Amézaga, Carlos Germán",0,0,0
"Amicis, Edmondo de",0,0,0
"Amiel, Henri-Frédéric",0,0,0
"Ancízar, Roberto",0,0,0
"Anderson Morúa, Luis",0,0,0
"Andrade Coello, Alejandro",0,0,0
"Andrade Marín, Francisco",0,0,0
"Andrade, José Arturo",0,0,0
"Andreev, Leonid Nikolaevich",0,0,0
"Andreis, Fernando de",0,0,0
"Ángel Montoya, Alberto",0,0,0
"Ángel, Juan E.",0,0,0
"Angell, George Thorndike",0,0,0
"Angulo J., Enriqueta",0,0,0
"Angulo Peláez, Ligia",0,0,0
"Antoine",0,0,0
"Antommarchi de Rojas, Dorila",0,0,0
"Aparicio, Alberto",0,0,0
"Aponte, E.",0,0,0
"Aragonés, Eutiquio",0,0,0
"Aramburo Restrepo, Gabriel",0,0,0
"Arango Echeverri, Alcides",0,0,0
"Arango Ferrer, Javier",0,0,0
