"Colaborador","Frecuencia"
"Montoya, Roberto",29
"Montoya, Gabriel",28
"Aliatar, Alí-Ben",25
"Montoya, José",24
"Álvarez R., Lisandro",22
"Rauzán, Hugo de",19
"Mejía Álvarez, Sixto",16
"B. Isaza",15
"Velillo, José",14
"Guerra, Martín",12
"Jarque, Aurora L. de",12
"Posada Arango, E.",12
"Ruíz, Dael",12
"Arango Jaramillo, Adelfa",11
"Coradine, Alberto",11
"López Restrepo, María",10
"Mejía Mejía, Francisco",10
"Vélez, Gabriel",10
"Gómez, Carlos E.",9
"Osorio, Luis F.",9
"Álvarez, Antonio",8
"Puerta G., Bernardo",8
"Robledo, Arturo",8
"Ceballos Uribe, Bernardo",7
"Euse Sánchez, Arturo",7
"Fischer, Léopold de",7
"Gómez, Jacobo",7
"Nick-Chano",7
"Skowronsky, Martín",7
"Zapata, Pedrito",7
"Agudelo, Gregorio",6
"Aparicio, Alberto",6
"Gómez, Jacobo V.",6
"Jaramillo, Arturo",6
"Jaramillo, Guillermo",6
"Micromegas",6
"Plá, José",6
"Posada Echeverri, Jesús",6
"Suárez Murillo, Carlos",6
"Susana",6
"Torres Pinzón, Carlos A.",6
"Vives, Luis",6
"Arango Echeverri, Alcides",5
"Dávila, Alfonso",5
"Fernández Morales, Juanita",5
"Gervais, Paul",5
"Jaramillo, Adán",5
"Luis de Axum",5
"Posada Hernández, Antonio",5
"Restrepo, Lucio A.",5
"Toro S., Magola",5
"Yepes, Joaquín E.",5
"Atehortua, Abelardo",4
"Bel, León",4
"Botero de Molina, Tila",4
"Botero Isaza, Horacio",4
"Cervera, Manuel S.",4
"Clara María",4
"Corrales, Nora",4
"Escobar, Camilo Arturo",4
"Ferrer, Jesús",4
"Flórez, Nicolás",4
"Gaitán O., Gustavo",4
"Gómez, Angélica",4
"Goovaerts, Agustín",4
"Londoño, Pedro P.",4
"Márquez Liévano, Ernestina",4
"Martínez, Bernardo V.",4
"Monseñor Tranquilo",4
"Montoya A., Justo",4
"Moreno de los Ríos, Martín",4
"Ortega, Alfredo",4
"Pascaña, Jerónimo",4
"Pérez Amaya, Carlos",4
"Pérez, Rafael",4
"Rémy, François",4
"Renales, Paco",4
"Restrepo Piedrahíta, J.",4
"Rito, P.",4
"Sánchez V., Cruz",4
"Santa María Vermersch, Ricardo",4
"Shulman, Pola",4
