geocode,etiqueta,longitud,latitud
001_O,Otros territorios,-109.2175,10.3037
001_O,Otros territorios,94.4946,28.4402
001_O,Otros territorios,33.6915,21.8998
001_O,Otros territorios,28.3975,9.7746
001_O,Otros territorios,111.8758,16.3681
001_O,Otros territorios,117.732,15.2128
001_O,Otros territorios,79.1237,35.0111
001_O,Otros territorios,79.326,32.8821
001_O,Otros territorios,35.0029,4.7378
001_O,Otros territorios,75.7996,34.5631
001_O,Otros territorios,147.9103,45.1573
001_O,Otros territorios,40.3499,-22.361
001_O,Otros territorios,35.4819,22.3617
001_O,Otros territorios,115.1302,10.6117
001_O,Otros territorios,-75.0125,18.4019
001_O,Otros territorios,123.5295,25.772
4,Afganistán,65.9979,33.8179
8,Albania,20.0708,41.1389
10,Antártida,22.8986,-79.9284
12,Argelia,2.6825,28.1467
16,Samoa Americana,-170.7284,-14.304
20,Andorra,1.5914,42.5422
24,Angola,17.5818,-12.3604
28,Antigua y Barbuda,-61.8097,17.0785
31,Azerbaiyán,47.6875,40.3449
32,Argentina,-63.5885,-31.5807
36,Australia,134.3612,-25.5817
40,Austria,14.1373,47.5847
44,Las Bahamas,-76.6112,24.2543
48,Bahrein,50.5474,26.0546
50,Bangladesh,90.2518,23.8479
51,Armenia,44.9184,40.3035
52,Barbados,-59.5555,13.167
56,Bélgica,4.6593,50.6429
60,Bermudas,-64.7663,32.2994
64,Bhután,90.4666,27.383
68,Bolivia,-64.6743,-16.7156
70,Bosnia y Herzegovina,17.7899,44.1624
72,Botswana,23.8028,-22.1802
74,Isla Bouvet,3.3671,-54.4229
76,Brasil,-53.0849,-10.7672
84,Belice,-88.7141,17.1903
86,El Territorio Británico del Océano Índico,72.4196,-7.3149
90,Islas Salomón,159.6008,-8.8995
92,Islas Vírgenes británicas,-64.5158,18.5115
96,Brunei Darussalam,114.6023,4.5553
100,Bulgaria,25.235,42.7546
104,Myanmar,96.501,21.2369
108,Burundi,29.8912,-3.3741
112,Belarús,28.0284,53.5308
116,Camboya,104.9152,12.7146
120,Camerún,12.7363,5.6658
124,Canadá,-101.8126,57.6978
132,Cabo Verde,-23.9802,15.9412
136,Las Islas Caimán,-81.2119,19.323
140,La República Centroafricana,20.9507,7.0012
144,Sri Lanka,80.7079,7.6065
148,Chad,18.6701,15.344
152,Chile,-69.1554,-22.9087
156,China,104.1494,32.3102
162,Isla de Navidad,105.6473,-10.4806
166,Las Islas Cocos / Keeling,96.8545,-12.1447
170,Colombia,-73.0781,3.8983
174,Las Comoras,43.3442,-11.6063
178,El Congo,15.2674,-839
180,La República Democrática del Congo,23.6559,-2.8703
184,Las Islas Cook,-158.9782,-19.2114
188,Costa Rica,-84.1701,9.9959
191,Croacia,16.4894,43.756
192,Cuba,-79.3227,21.9946
196,Chipre,33.1739,35.0284
203,República Checa,15.3276,49.7382
204,Benin,2.3384,9.6486
208,Dinamarca,9.3193,56.0271
212,Dominica,-61.3474,15.4111
214,La República Dominicana,-70.5106,18.9012
218,Ecuador,-78.3577,-1.4201
222,El Salvador,-88.887,13.7413
226,Guinea Ecuatorial,10.4688,1.5921
231,Etiopía,39.6403,8.6307
232,Eritrea,38.132,16.1236
233,Estonia,25.8548,58.6709
234,Las Islas Feroe,-6.9815,62.1202
238,Las Islas Malvinas [Falkland],-58.7523,-51.7388
239,La Georgia del Sur y las Islas Sandwich del Sur,-36.2044,-54.6015
242,Fiji,177.9517,-17.8274
246,Finlandia,26.2795,64.4974
250,Francia,2.5059,46.6183
258,Polinesia Francesa,-145.2486,-15.4228
260,Las Tierras Australes Francesas,69.2169,-49.3089
262,Djibouti,42.2053,11.6033
266,Gabón,11.7646,-0.6157
268,Georgia,43.2962,42.0572
270,La Gambia,-16.0613,13.3811
275,Palestina,35.2786,31.9693
276,Alemania,10.3767,51.0771
288,Ghana,-1.1985,7.9616
292,Gibraltar,-5.3461,36.1432
296,Kiribati,-157.4016,1.8716
300,Grecia,22.5402,39.4982
304,Groenlandia,-41.388,74.7663
308,Granada,-61.6809,12.1196
316,Guam,144.717,13.3633
320,Guatemala,-91.2288,15.0125
324,Guinea,-11.3051,11.0087
328,Guyana,-58.9618,4.803
332,Haití,-72.3646,18.3858
334,Isla Heard e Islas McDonald,73.5251,-53.1095
