NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
La Golondrina. Hoja literaria y de variedades,1,Anónimo,Creador,NA,Colombia,LA GOLONDRINA.,1,22 de mayo de 1881,1881-05-22,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,1-2
La Golondrina. Hoja literaria y de variedades,2,"Echeverri, Camilo Antonio",Creador,C. A. E.,Colombia,LA GOLONDRINA.,1,22 de mayo de 1881,1881-05-22,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.8,2
La Golondrina. Hoja literaria y de variedades,3,"Schiller, Friedrich",Creador,NA,Alemania,REMINISCENCIA.,1,22 de mayo de 1881,1881-05-22,Sí,"Restrepo, Antonio José",Español,Alemán,Poesía,Poema,NA,NA,1.2,2-3
La Golondrina. Hoja literaria y de variedades,4,"Molina, Juan José",Creador,NA,Colombia,PAGINAS INTIMAS.,1,22 de mayo de 1881,1881-05-22,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.8,3
La Golondrina. Hoja literaria y de variedades,5,"Cano Gutiérrez, Fidel",Creador,NA,Colombia,RISA Y LLANTO.,1,22 de mayo de 1881,1881-05-22,No,NA,Español,NA,Poesía,Poema,NA,NA,0.2,4
La Golondrina. Hoja literaria y de variedades,6,"Cognetti, Leonardo M.",Creador,"Cognetti, L. M.",Italia,VORREI MORIRE!,1,22 de mayo de 1881,1881-05-22,No,NA,Italiano,Italiano,Poesía,Poema,NA,NA,0.2,4
La Golondrina. Hoja literaria y de variedades,7,"Cognetti, Leonardo M.",Creador,"Cognetti, L. M.",Italia,QUIERO MORIR.,1,22 de mayo de 1881,1881-05-22,Sí,"Villa, Eduardo",Español,Italiano,Poesía,Poema,NA,NA,0.2,4
La Golondrina. Hoja literaria y de variedades,8,"Barco, Jesús María",Creador,J. M. Barco,Colombia,HACE AÑOS.,1,22 de mayo de 1881,1881-05-22,No,NA,Español,NA,Poesía,Poema,NA,NA,0.6,4
La Golondrina. Hoja literaria y de variedades,9,Anónimo,Creador,Scorpionni,Colombia,NA,1,22 de mayo de 1881,1881-05-22,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.9,4-5
La Golondrina. Hoja literaria y de variedades,10,"Fernández Grilo, Antonio",Creador,NA,España,LAS GOLONDRINAS.,1,22 de mayo de 1881,1881-05-22,No,NA,Español,NA,Poesía,Poema,NA,NA,0.4,5
La Golondrina. Hoja literaria y de variedades,11,Anónimo,Creador,NA,NA,CHAMARASCA.,1,22 de mayo de 1881,1881-05-22,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.1,5-6
La Golondrina. Hoja literaria y de variedades,12,Anónimo,Creador,"Villa, M. M.",NA,NACIMIENTO Y BAUTISMO.,1,22 de mayo de 1881,1881-05-22,No,NA,Español,NA,Poesía,Poema,NA,NA,1,6-7
La Golondrina. Hoja literaria y de variedades,13,"Botero Ruiz, Juan José",Editor,J.J.B.,Colombia,EL PELLIZCO.,1,22 de mayo de 1881,1881-05-22,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1.9,7-8
La Golondrina. Hoja literaria y de variedades,14,"Pereira, Guillermo",Creador,NA,Colombia,SONETO.,1,22 de mayo de 1881,1881-05-22,No,NA,Español,NA,Poesía,Poema,NA,NA,0.2,8
La Golondrina. Hoja literaria y de variedades,15,Anónimo,Creador,NA,NA,"AVISOS. ""LA GOLONDRINA""",1,22 de mayo de 1881,1881-05-22,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,8
La Golondrina. Hoja literaria y de variedades,16,Anónimo,Creador,NA,NA,LA GOLONDRINA,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.3,9
La Golondrina. Hoja literaria y de variedades,17,Sulia,Creador,Sulia,NA,A UNA GOLONDRINA,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Poesía,Poema,NA,NA,0.2,9
La Golondrina. Hoja literaria y de variedades,18,Anónimo,Creador,Not,NA,NA,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.1,9-10
La Golondrina. Hoja literaria y de variedades,19,"Montes del Valle, Agripina",Creador,NA,Colombia,SILVA. A DIOS (DEDICADA EN PRUEBA DE CARIÑO Y AFECTO PROFUNDOS Á MI SEÑORA DOÑA P. DE B.),2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Poesía,Poema,P. de B,NA,0.6,11
La Golondrina. Hoja literaria y de variedades,20,"Echeverri, Camilo Antonio",Creador,C. A. E.,Colombia,AMOR DE HIJO.,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Poesía,Poema,NA,NA,0.3,11
La Golondrina. Hoja literaria y de variedades,21,"Cancio Tobón, Juan",Creador,"Tobon, Juan C.",Colombia,A UNA TUMBA. (AUSENTE DE LA PATRIA).,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Poesía,Poema,NA,NA,0.7,11-12
La Golondrina. Hoja literaria y de variedades,22,"Londoño, J. B.",Creador,"Londoño, J. B",NA,LA BAHIA DE RIO-JANEIRO.,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.9,12-13
La Golondrina. Hoja literaria y de variedades,23,"Hoyos, Eduardo A.",Creador,NA,Colombia,MAÑANA.,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.3,13
La Golondrina. Hoja literaria y de variedades,24,"Henao, Januario",Creador,NA,Colombia,AUSENTE!....,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Poesía,Poema,NA,NA,0.1,13
La Golondrina. Hoja literaria y de variedades,25,Yo,Creador,Yo,NA,A…,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Poesía,Poema,NA,NA,0.2,14
La Golondrina. Hoja literaria y de variedades,26,"Mejía T., J. M.",Creador,"Mejía T, J. M. ",NA,LA INOCENCIA. (EN EL ÁLBUM DE DOLORCITAS).,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.1,14-15
La Golondrina. Hoja literaria y de variedades,27,"Roca, M.",Creador,"Roca, M. ",NA,CHAMARASCA. A DON PALURDO.,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Poesía,Poema,NA,NA,0.2,15
La Golondrina. Hoja literaria y de variedades,28,"Botero Guerra, Camilo",Creador,Don Juan del Martillo,Colombia,AY!,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1.4,15-16
La Golondrina. Hoja literaria y de variedades,29,Anónimo,Creador,NA,NA,VARIEDADES.,2,3 de junio de 1881,1881-06-03,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,16
La Golondrina. Hoja literaria y de variedades,30,Fanny,Creador,Fanny,NA,ENTONCES Y AHORA.,3,19 de Junio de 1881,1881-06-19,No,NA,Español,NA,Poesía,Poema,NA,NA,0.3,17
La Golondrina. Hoja literaria y de variedades,31,Not,Creador,Not,NA,CONCLUSION DE LA CARTA AL SEÑOR N. N.,3,19 de Junio de 1881,1881-06-19,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.9,17-18
La Golondrina. Hoja literaria y de variedades,32,"Lamartine, Alphonse de",Creador,NA,NA,LA GOLONDRINA. (DE LAMARTINE).,3,19 de Junio de 1881,1881-06-19,Sí,"Cano Gutiérrez, Fidel",Español,Francés,Poesía,Poema,NA,NA,0.5,18-19
La Golondrina. Hoja literaria y de variedades,33,E.V.,Creador,E.V.,NA,RECUERDO DE SALON.,3,19 de Junio de 1881,1881-06-19,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.8,19-20
La Golondrina. Hoja literaria y de variedades,34,"Cancio Tobón, Juan",Creador,"Tobon, Juan C.",Colombia,EN EL VALLE.,3,19 de Junio de 1881,1881-06-19,No,NA,Español,NA,Poesía,Poema,NA,NA,1.2,20-22
La Golondrina. Hoja literaria y de variedades,35,"Jaramillo Córdoba, Federico",Creador,NA,Colombia,PARA LA GOLONDRINITA.,3,19 de Junio de 1881,1881-06-19,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,22
La Golondrina. Hoja literaria y de variedades,36,Yo,Creador,Yo,NA,LOS CIPRESES VECINOS. (1),3,19 de Junio de 1881,1881-06-19,No,NA,Español,NA,Poesía,Poema,NA,NA,0.3,22
La Golondrina. Hoja literaria y de variedades,37,"Toro, Antonio J.",Creador,NA,Colombia,POR QUE SUSPIRO?,3,19 de Junio de 1881,1881-06-19,No,NA,Español,NA,Poesía,Poema,NA,NA,0.4,23
La Golondrina. Hoja literaria y de variedades,38,Anónimo,Director,NA,NA,CHAMARASCA. (VARIEDADES). MANUEL URIBE ANGEL.,3,19 de Junio de 1881,1881-06-19,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,23
La Golondrina. Hoja literaria y de variedades,39,Anónimo,Creador,NA,NA,MUSEO.,3,19 de Junio de 1881,1881-06-19,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.4,23
La Golondrina. Hoja literaria y de variedades,40,"Botero Ruiz, Juan José",Editor,"Botero, J. J.",NA,CASI….,3,19 de Junio de 1881,1881-06-19,No,NA,Español,NA,Poesía,Poema,NA,NA,0.4,24
La Golondrina. Hoja literaria y de variedades,41,Anónimo,Creador,NA,Colombia,SENTENCIA DE JESUS.,3,19 de Junio de 1881,1881-06-19,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.4,24
La Golondrina. Hoja literaria y de variedades,42,"Botero Ruiz, Juan José",Editor,J.J.B.,Colombia,"AGENCIA GENERAL DE ""LA GOLONDRINA"". (CORRESPONDENCIA).",3,19 de Junio de 1881,1881-06-19,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,24
La Golondrina. Hoja literaria y de variedades,43,Anónimo,Creador,NA,Colombia,LA GOLONDRINA.,4,3 de julio de 1881,1881-07-03,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,25-26
La Golondrina. Hoja literaria y de variedades,44,C. R. M de I.,Creador,C. R. M de I.,NA,ADIOS!,4,3 de julio de 1881,1881-07-03,No,NA,Español,NA,Poesía,Poema,NA,NA,0.3,26
La Golondrina. Hoja literaria y de variedades,45,"Echeverri, Camilo Antonio",Creador,C. A. E.,Colombia,A NOT.,4,3 de julio de 1881,1881-07-03,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.4,26
La Golondrina. Hoja literaria y de variedades,46,"Arnault, Antoine-Vincent",Creador,Arnault,Francia,LA HOJA. (DE ARNAULT).,4,3 de julio de 1881,1881-07-03,Sí,"Restrepo, Antonio José",Español,Francés,Poesía,Poema,NA,NA,0.2,26
