NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Revista Literaria. Publicación Mensual,1,"Laverde Amaya, Isidoro",Director,NA,Colombia,La literatura colombiana (Nuestros propósitos),1,mayo 15 de 1890,1890-05-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,17.5,1-18
Revista Literaria. Publicación Mensual,2,"Camacho Roldán, Salvador",Creador,NA,Colombia,Los trabajos del Canal de Panamá (1),1,mayo 15 de 1890,1890-05-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,14,18-32
Revista Literaria. Publicación Mensual,3,"Sanín Cano, Baldomero",Creador,NA,Colombia,José Caicedo Rojas,1,mayo 15 de 1890,1890-05-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,9,32-41
Revista Literaria. Publicación Mensual,4,"Acosta de Samper, Soledad",Creador,NA,Colombia,La mujer española en Santafé de Bogotá,1,mayo 15 de 1890,1890-05-15,No,NA,Español,NA,Prosa No Ficción,Narración histórico-novelesca,"Camacho Roldán, Salvador",NA,8,41-49
Revista Literaria. Publicación Mensual,5,"Merchán, Rafael María",Creador,NA,Colombia,A mi hijo Augusto,1,mayo 15 de 1890,1890-05-15,No,NA,Español,NA,Poesía,NA,NA,NA,6,55
Revista Literaria. Publicación Mensual,6,"Isaacs, Jorge",Creador,NA,Colombia,Lumbre de sombra,1,mayo 15 de 1890,1890-05-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,55
Revista Literaria. Publicación Mensual,7,"Restrepo, José Manuel",Creador,NA,Colombia,Historia de la Nueva Granada. Para servir de continuación á la historia de Colombia [continúa],1,mayo 15 de 1890,1890-05-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,03.3,56-59
Revista Literaria. Publicación Mensual,8,"Laverde Amaya, Isidoro",Director,NA,Colombia,Crónica,1,mayo 15 de 1890,1890-05-15,No,NA,Español,NA,Prosa No Ficción,Crónica,NA,NA,05.6,59-64
Revista Literaria. Publicación Mensual,9,Anónimo,Creador,NA,NA,Próximo a publicarse,1,mayo 15 de 1890,1890-05-15,No,NA,Español,NA,Publicidad,NA,NA,NA,0.2,NA
Revista Literaria. Publicación Mensual,10,"Núñez, Rafael",Creador,NA,Colombia,"Decreto Número 151, sobre imprenta",1,mayo 15 de 1890,1890-05-15,No,NA,Español,NA,Prosa No Ficción,Decreto,NA,NA,01.7,NA
