NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
La Escuela Literaria. Publicación mensual,1,Anónimo,Director,***,Colombia,El Ilmo. Sr. Velasco,1,1891-05-05,No,NA,Español,Español,Prosa No Ficción,NA,NA,NA,0.7,1
La Escuela Literaria. Publicación mensual,2,Anónimo,Director,NA,Colombia,La Escuela Literaria,1,1891-05-05,No,NA,Español,Español,Prosa No Ficción,NA,NA,NA,1.3,1-2
La Escuela Literaria. Publicación mensual,3,"Suárez Murillo, Carlos",Creador,Aladino,Colombia,Qué desgracia!,1,1891-05-05,No,NA,Español,Español,Prosa Ficción,Literatura,NA,NA,4.6,3-7
La Escuela Literaria. Publicación mensual,4,"Rosas B., Agustín",Creador,NA,Colombia,Invierno,1,1891-05-05,No,NA,Español,Español,Poesía,Literatura,NA,NA,2,7-9
La Escuela Literaria. Publicación mensual,5,J. C. G.,Creador,J. C. G.,Colombia,El estudio de la historia,1,1891-05-05,No,NA,Español,Español,Prosa No Ficción,Literatura,NA,NA,1,9-10
La Escuela Literaria. Publicación mensual,6,"Martínez, Bernardo V.",Creador,NA,Colombia,A mi muerte,1,1891-05-05,No,NA,Español,Español,Poesía,Literatura,NA,NA,1.5,10-12
La Escuela Literaria. Publicación mensual,7,"Suárez Murillo, Alberto",Creador,A. S. M.,Colombia,La cueva de Tuluni,1,1891-05-05,No,NA,Español,Español,Prosa No Ficción,Literatura,NA,NA,2.2,12-14
La Escuela Literaria. Publicación mensual,8,Anónimo,Creador,Kan del Ario,NA,En el campo,1,1891-05-05,No,NA,Español,Español,Poesía,Literatura,NA,NA,0.9,14-15
La Escuela Literaria. Publicación mensual,9,"Suárez Murillo, Alberto",Creador,Luigi (A. S. M.),Colombia,El miserere,1,1891-05-05,No,NA,Español,Español,Prosa Ficción,Literatura,NA,NA,1.1,15-16
La Escuela Literaria. Publicación mensual,10,Anónimo,Creador,Korpet,NA,A ***,1,1891-05-05,No,NA,Español,Español,Poesía,Literatura,NA,NA,0.5,16-17
La Escuela Literaria. Publicación mensual,11,"Gervais, Paul",Creador,NA,NA,Diez años después,1,1891-05-05,Sí,"Suárez Murillo, Carlos",Español,Francés,Prosa Ficción,Folletín,NA,NA,5.8,17-22
La Escuela Literaria. Publicación mensual,12a,"Suárez Murillo, Carlos",Creador,NA,Colombia,Secretaría de la Escuela Literaria,1,1891-05-05,No,NA,Español,Español,Prosa No Ficción,NA,NA,NA,0.7,23
La Escuela Literaria. Publicación mensual,12b,"Rosas B., Agustín",Creador,NA,Colombia,Secretaría de la Escuela Literaria,1,1891-05-05,No,NA,Español,Español,Prosa No Ficción,NA,NA,NA,0.7,23
La Escuela Literaria. Publicación mensual,13,"Núñez, Rafael",Creador,NA,Colombia,Decreto número 151 de 1888,1,1891-05-05,No,NA,Español,Español,Prosa No Ficción,Decreto,NA,NA,1.3,23-24
La Escuela Literaria. Publicación mensual,14,"Sánchez V., Cruz",Administrador,NA,Colombia,Condiciones de suscripción,2,1891-06-10,No,NA,Español,Español,Publicidad,NA,NA,NA,1,SD
La Escuela Literaria. Publicación mensual,15,"Herrán, Francisco J.",Creador,"Herrán, F. J.",Colombia,El valle de Tenza,2,1891-06-10,No,NA,Español,Español,Prosa No Ficción,NA,"Suárez Murillo, Carlos",NA,2.1,25-27
La Escuela Literaria. Publicación mensual,16,"Suárez Murillo, Carlos",Creador,Aladino,Colombia,Epílogo de una novela,2,1891-06-10,No,NA,Español,Español,Prosa Ficción,NA,NA,NA,1.2,27-29
La Escuela Literaria. Publicación mensual,17,"Sánchez V., Cruz",Administrador,NA,Colombia,El trabajo,2,1891-06-10,No,NA,Español,Español,Prosa No Ficción,NA,NA,NA,4.7,29-33
