NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
La Bohemia Alegre,1,"Ferrer, Jesús",Creador,NA,Colombia,Inicial,1,1895-10-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,02.5,1-3
La Bohemia Alegre,2,"Montoya, Antonio José",Director,NA,Colombia,Decadencia,1,1895-10-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,04.5,3-7
La Bohemia Alegre,3,"Velásquez García, José",Creador,Julio Vives Guerra,Colombia,En el Rhin,1,1895-10-01,No,NA,Español,NA,Poesía,NA,NA,NA,01.4,8-9
La Bohemia Alegre,4,"Londoño, Pedro P.",Creador,P. Londoño,NA,Pipí,1,1895-10-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,03.4,9-12
La Bohemia Alegre,5,"Henao, Federico Carlos",Director,Carlos Espinela,Colombia,"En el bosque (de ""Zarzarosas"")",1,1895-10-01,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,12-13
La Bohemia Alegre,6,"Gómez Escobar, Francisco",Creador,Efe Gómez,Colombia,Del revés,1,1895-10-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,01.6,13-14
La Bohemia Alegre,7,"Quevedo Álvarez, Tomás",Creador,NA,Colombia,Así!,1,1895-10-01,No,NA,Español,NA,Poesía,NA,NA,NA,0.9,14-15
La Bohemia Alegre,8,"Restrepo, Saturnino",Creador,Emile Dravick,Colombia,Naufragio y suicidio,1,1895-10-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,02.1,15-17
La Bohemia Alegre,9,"Henao, Federico Carlos",Director,Carlos Espinela,Colombia,Pobrecilla!,1,1895-10-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,18-19
La Bohemia Alegre,10,"Gutiérrez Robledo, Julio",Creador,NA,NA,Esther (improntu),1,1895-10-01,No,NA,Español,NA,Poesía,NA,"Duque, José F.",NA,0.5,20
La Bohemia Alegre,11,"Velásquez García, José",Creador,Julio Vives Guerra,Colombia,"Jerónimo (del libro ""Helechos"")",1,1895-10-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,20-22
