NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
El Repertorio. Revista Mensual Ilustrada,1a,"Greiff, Luis de",Director,NA,Colombia,Prospecto,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2,1-2
El Repertorio. Revista Mensual Ilustrada,1b,"Rodríguez, Horacio Marino",Director,NA,Colombia,Prospecto,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2,1-2
El Repertorio. Revista Mensual Ilustrada,2,"Greiff, Luis de",Director,NA,Colombia,Epifanio Mejía,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,3
El Repertorio. Revista Mensual Ilustrada,3,"Cano, Francisco Antonio",Ilustrador,F. C.,Colombia,NA,1,1896-06-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,3
El Repertorio. Revista Mensual Ilustrada,4,"Yepes, Joaquín E.",Creador,"Yepes, J. E.",Colombia,Frutos de mi tierra,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,NA,"Carrasquilla, Tomás",NA,13,4-16
El Repertorio. Revista Mensual Ilustrada,5,"Mejía, Epifanio",Creador,NA,Colombia,La tórtola,1,1896-06-01,No,NA,Español,NA,Poesía,NA,NA,NA,0.2,17
El Repertorio. Revista Mensual Ilustrada,6,"Cano, Francisco Antonio",Ilustrador,F. C.,Colombia,NA,1,1896-06-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.8,17
El Repertorio. Revista Mensual Ilustrada,7,"Féval, Paul",Creador,"Feval, P.",Francia,Canción del peral,1,1896-06-01,Sí,NA,Español,Francés,Prosa Ficción,NA,NA,NA,02.5,18-20
El Repertorio. Revista Mensual Ilustrada,8,"Cancio Tobón, Juan",Creador,"Tobón, Juan C.",Colombia,Cuba,1,1896-06-01,No,NA,Español,NA,Poesía,NA,"Arbeláez, Carlos; Arbeláez, Manuel",NA,02.5,20-22
El Repertorio. Revista Mensual Ilustrada,9,Anónimo,Ilustrador,Maya,NA,NA,1,1896-06-01,No,NA,NA,NA,Imagen,NA,NA,NA,1,23
El Repertorio. Revista Mensual Ilustrada,10,"Duque, Antonio de J.",Creador,"Duque, A. J.",Colombia,Puente de Occidente,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,02.8,24-26
El Repertorio. Revista Mensual Ilustrada,11,"Castelar, Emilio",Creador,Castelar,España,NA,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,26
El Repertorio. Revista Mensual Ilustrada,12,"Velásquez García, José",Creador,"Vives Guerra, Julio",Colombia,A Maximiliano Grillo,1,1896-06-01,No,NA,Español,NA,Poesía,NA,NA,NA,1,27
El Repertorio. Revista Mensual Ilustrada,13,"Grégory, Pedro N.",Creador,P. N. G.,NA,Arte,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,04.5,28-32
El Repertorio. Revista Mensual Ilustrada,14a,"Greiff, Luis de",Director,NA,Colombia,NA,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,Minucias,NA,NA,0.1,32
El Repertorio. Revista Mensual Ilustrada,14b,"Rodríguez, Horacio Marino",Director,NA,Colombia,NA,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,Minucias,NA,NA,0.1,32
El Repertorio. Revista Mensual Ilustrada,15a,"Greiff, Luis de",Director,NA,Colombia,NA,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,Minucias,NA,NA,0.1,32
El Repertorio. Revista Mensual Ilustrada,15b,"Rodríguez, Horacio Marino",Director,NA,Colombia,NA,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,Minucias,NA,NA,0.1,32
El Repertorio. Revista Mensual Ilustrada,16a,"Greiff, Luis de",Director,NA,Colombia,Curiosidad,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,Minucias,NA,NA,0.6,32-33
El Repertorio. Revista Mensual Ilustrada,16b,"Rodríguez, Horacio Marino",Director,NA,Colombia,Curiosidad,1,1896-06-01,No,NA,Español,NA,Prosa No Ficción,Minucias,NA,NA,0.6,32-33
