NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Lectura y Arte,1,"Cano, Francisco Antonio",Director,NA,Colombia,Estudio decorativo,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Imagen,NA,NA,NA,1,1
Lectura y Arte,5,"Cano, Francisco Antonio",Director,FAC,Colombia,NA,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Imagen,NA,NA,NA,0.3,3
Lectura y Arte,6,"Ospina Vásquez, Mariano",Creador,M.O.V.,Colombia,Temas de conversación. Se solicita un apostol.,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,01.5,4-5
Lectura y Arte,7,"Restrepo, Saturnino",Creador,NA,Colombia,Sombria.,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,4,5-9
Lectura y Arte,8,"Cano, Francisco Antonio",Director,FAC,Colombia,NA,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Imagen,NA,NA,NA,0.5,6-7
Lectura y Arte,9,"Cano, Antonio José",Director,NA,Colombia,Abanico,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Poesía,NA,NA,NA,0.4,10
Lectura y Arte,10,"Tobón Mejía, Marco",Director,NA,Colombia,NA,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Imagen,NA,NA,NA,1,10
Lectura y Arte,11,"Restrepo Restrepo, Carlos Eugenio",Creador,NA,Colombia,Cera y diamante.,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,01.3,11-12
Lectura y Arte,12,"Tobón Mejía, Marco",Director,MTM,Colombia,NA,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Imagen,NA,NA,NA,0.3,11
Lectura y Arte,13,"Fernández Avendaño, Enrique Wenceslao",Creador,NA,Colombia,A Rafael Giraldo y Viana,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Poesía,NA,NA,NA,0.2,12
Lectura y Arte,14,"Castell, Ángel María",Creador,NA,España,Perez Galdos y los episodios nacionales.,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,12-13
Lectura y Arte,19,"Tobón Mejía, Marco",Director,MTM,Colombia,NA,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Imagen,NA,NA,NA,0.5,15
Lectura y Arte,20,"Montoya, Antonio José",Creador,"Montoya, José",Colombia,Cronica literaria,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Reseña,Cronica,NA,"Páginas locas, Abel Farina (poesía);
Notas humanas, Alfonso Castro (cuento);
Aires antioqueños, José Velásquez (poesía);
El recluta, varios autores (cuento);
Navidades, Fidel Cano (poesía);
Poesías, Epifanio Mejía;
Oración por todos, Victor Hugo (traducción de Fidel Cano);
Salve, Regina!, Tomás Carrasquilla (novela).",02.9,"16-17, 19"
Lectura y Arte,25,"Tobón Mejía, Marco",Director,Sempronio,Colombia,El gran negocio,Año 1º Nº 1,01/07/03,1903-07-01,No,NA,Español,NA,Imagen,NA,NA,NA,1,20
Lectura y Arte,26,"Cano, Francisco Antonio",Director,FAC,Colombia,Recuerdo de París,Nº 2,01/08/03,1903-08-01,No,NA,Español,NA,Imagen,NA,NA,NA,1,21
Lectura y Arte,27,"Latorre, Francisco A.",Anunciador,NA,Colombia,Condiciones de esta revista.,Nº 2,01/08/03,1903-08-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.2,22
Lectura y Arte,29,"Latorre, Gabriel",Creador,NA,Colombia,A guisa de prologo,Nº 2,01/08/03,1903-08-01,No,NA,Español,NA,Reseña,NA,NA,"Roque Yarza, Efe Gómez",1,22-23
Lectura y Arte,30,"Cano, Francisco Antonio",Director,FAC,Colombia,NA,Nº 2,01/08/03,1903-08-01,No,NA,Español,NA,Imagen,NA,NA,NA,0.3,23
Lectura y Arte,31,"Gómez Escobar, Francisco",Creador,Efe Gómez,Colombia,Roque Yarza,Nº 2,01/08/03,1903-08-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,03.5,23-27
Lectura y Arte,32,"Cano, Francisco Antonio",Director,FAC,Colombia,NA,Nº 2,01/08/03,1903-08-01,No,NA,Español,NA,Imagen,NA,NA,NA,0.8,26-27
Lectura y Arte,33,"Merezhkovski, Dmitri",Creador,NA,Rusia,El hermano Parfeno.,Nº 2,01/08/03,1903-08-01,Sí,NA,Español,Ruso,Prosa Ficción,NA,NA,NA,01.6,28-29
Lectura y Arte,34,"Velásquez García, José",Creador,NA,Colombia,Julio Echavarria.,Nº 2,01/08/03,1903-08-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.4,29
Lectura y Arte,35,"Vidal, Gonzalo",Creador,NA,Colombia,Lo Soñado,Nº 2,01/08/03,1903-08-01,No,NA,Español,NA,Imagen,NA,NA,NA,01.6,30-31
Lectura y Arte,36,"Tobón Mejía, Marco",Director,NA,Colombia,NA,Nº 2,01/08/03,1903-08-01,No,NA,Español,NA,Imagen,NA,NA,NA,0.4,30-31
