NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Lectura Amena,1,Anónimo,Creador,NA,NA,Lectura Amena,1,15 de septiembre de 1904,1904-09-15,No,NA,Español,NA,Prosa No Ficción,NA,Lectura Amena,NA,1,NA
Lectura Amena,2,"Tejada Córdoba, Benjamín",Creador,NA,Colombia,Juegos florales,1,15 de septiembre de 1904,1904-09-15,No,NA,Español,NA,Prosa No Ficción,NA,Lectura Amena,NA,2.5,1--3
Lectura Amena,3,"Cano, Antonio José",Creador,NA,Colombia,Soñada…,1,15 de septiembre de 1904,1904-09-15,No,NA,Español,NA,Poesía,NA,NA,NA,1,3--4
Lectura Amena,4,"Dicenta, Joaquín",Creador,NA,España,La corona de Zorilla,1,15 de septiembre de 1904,1904-09-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,4--5
Lectura Amena,5,"Gautier, Théophile",Creador,NA,Francia,"La ""Gioconda"" de Leonardo da Vinci",1,15 de septiembre de 1904,1904-09-15,Sí,Anónimo,Español,Francés,Prosa No Ficción,NA,NA,NA,1,5--6
Lectura Amena,6,"Darío, Rubén",Creador,NA,Nicaragua,Filtración,1,15 de septiembre de 1904,1904-09-15,No,NA,Español,NA,Poesía,NA,NA,NA,1,6--7
Lectura Amena,7,Anónimo,Creador,NA,NA,Rochefort poerta religioso,1,15 de septiembre de 1904,1904-09-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.4,7
Lectura Amena,8,"Rochefort, Henri",Creador,NA,Francia,NA,1,15 de septiembre de 1904,1904-09-15,No,NA,Francés,Francés,Poesía,NA,NA,NA,0.4,7--8
Lectura Amena,9,"Rochefort, Henri",Creador,NA,Francia,Traducción,1,15 de septiembre de 1904,1904-09-15,Sí,Anónimo,Español,Francés,Poesía,NA,NA,NA,0.4,8--
Lectura Amena,10,"Gerin, Gabriel",Creador,NA,Francia,La invitación del doctor,1,15 de septiembre de 1904,1904-09-15,Sí,"Martínez Rivas, Federico",Español,Francés,Poesía,NA,NA,NA,3,8--11
Lectura Amena,11,"Restrepo, Saturnino",Creador,S. Restrepo,Colombia,Amado Nervo,1,15 de septiembre de 1904,1904-09-15,No,NA,Español,NA,Prosa No Ficción,NA,Lectura Amena,NA,9,11--20
Lectura Amena,12,Anónimo,Creador,NA,NA,NA,1,15 de septiembre de 1904,1904-09-15,No,NA,Español,NA,Publicidad,NA,NA,NA,4.3,NA
Lectura Amena,13,"Maupassant, Guy de",Creador,NA,Francia,El paraguas,2,15 de octubre de 1904,1904-10-15,Sí,Anónimo,Español,Francés,Prosa Ficción,NA,"Oudinot, Camilo",NA,6,21-26
Lectura Amena,14,"Velázquez, Alejandro",Creador,NA,Colombia,¡Oh… Artistas!,2,15 de octubre de 1904,1904-10-15,No,NA,Español,NA,Poesía,NA,NA,NA,1.2,27-28
Lectura Amena,15,"Monte, D. L.",Creador,D.L. Monte,NA,"""Reir llorando""",2,15 de octubre de 1904,1904-10-15,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1.1,28-29
Lectura Amena,16,"Flórez, Julio",Creador,NA,Colombia,¡Oh Luna!,2,15 de octubre de 1904,1904-10-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.4,29--
Lectura Amena,17,"Montoya, Antonio José",Creador,NA,Colombia,Limosnera,2,15 de octubre de 1904,1904-10-15,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1.3,29-30
Lectura Amena,18,"Mercado, Julio",Creador,NA,Colombia,Himnario,2,15 de octubre de 1904,1904-10-15,No,NA,Español,NA,Poesía,NA,"Velasquez, Leticia",NA,0.4,31
