NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
La Buena Lectura,1,Anónimo,Creador,NA,Colombia,Dos Palabras,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa No Ficción,Editorial,NA,NA,1.4,1
La Buena Lectura,2,"Mejía O., Enrique",Creador,NA,Colombia,“Sr. La fundación de nuevas imprentas…”,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa No Ficción,Circular,NA,NA,1.4,1-2
La Buena Lectura,3,"Vilariño, Remigio",Creador,NA,España,Las Buenas Lecturas,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa No Ficción,Artículo de opinión,NA,NA,3.4,1-4
La Buena Lectura,4,"Holguín, Jorge",Creador,Luís León,Colombia,El Célebre Dr. Raymond,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa Ficción,Variedades,NA,NA,3.4,4-6
La Buena Lectura,5,"Montero Bustamante, Raúl",Creador,NA,Uruguay,Sobre el Abismo,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa Ficción,Variedades,NA,NA,2.4,6-7
La Buena Lectura,6,Anónimo,Creador,NA,Colombia,La Botella Negra,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa Ficción,Variedades,NA,NA,1,7-8
La Buena Lectura,7,"Loiseau, G.",Creador,Doctor G. Loiseau,NA,Traqueotomia,1,octubre1 de 1910,1910-10-01,Sí,Anónimo,Español,NA,Prosa No Ficción,Variedades,NA,NA,3,7-9
La Buena Lectura,8,"Blanmoco Beletón, M. R.",Creador,NA,Colombia,Heróico Sacrificio,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa No Ficción,Variedades,NA,NA,2.5,10-12
La Buena Lectura,9,"Requejo y Velarde, Gerardo",Creador,"Requejo Velarde, G.",España,Visión Dantesca,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa No Ficción,Variedades,NA,NA,1,12-13
La Buena Lectura,10,M.V.L,Creador,M.V.L,Colombia,La Edad de las Almas,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa Ficción,Variedades,NA,NA,3,13-15
La Buena Lectura,11,"Rojas, Aristides",Creador,NA,Colombia,Aramendi,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa No Ficción,Historia Patria,NA,NA,3.5,15-19
La Buena Lectura,12,"Monsalve, José Dolores",Creador,"Monsalve, J. D.",Colombia,Girardot,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa No Ficción,Historia Patria,NA,NA,1.3,19
La Buena Lectura,13,"Álvarez Bonilla, Enrique",Creador,NA,Colombia,Juicio sobre la obra,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa No Ficción,Historia Patria,NA,Biografía de Girardot,1.5,19-20
La Buena Lectura,14,"Monsalve, José Dolores",Creador,"Monsalve, J. D.",Colombia,Girardot,1,octubre 1 de 1910,1910-10-01,No,NA,Español,NA,Prosa No Ficción,Historia Patria,NA,NA,3,20-23
La Buena Lectura,15,"Mejía O., Enrique",Creador,NA,Colombia,Externado San Vicente de Paul,2,octubre 15 de 1910,1910-10-15,No,NA,Español,NA,Prosa No Ficción,Editorial,NA,NA,1.5,24-25
La Buena Lectura,16,"Vilariño, Remigio",Creador,NA,España,Leed Buenas Lecturas,2,octubre 15 de 1910,1910-10-15,No,NA,Español,NA,Prosa No Ficción,Buenas Lecturas,NA,NA,2.5,25-27
La Buena Lectura,17,"Madaline, Juan",Creador,NA,NA,Los dos abuelos,2,octubre 15 de 1910,1910-10-15,No,NA,Español,NA,Prosa Ficción,Variedades,NA,NA,2,27-29
La Buena Lectura,18,Anónimo,Creador,NA,NA,El Disco de la Muerte,2,octubre 15 de 1910,1910-10-15,No,NA,Español,NA,Prosa Ficción,Variedades,NA,NA,3.4,29-32
La Buena Lectura,19,"Nogales, José",Creador,NA,España,El Miedo del Sacristán,2,octubre 15 de 1910,1910-10-15,No,NA,Español,NA,Prosa Ficción,Variedades,NA,NA,2,32-33
La Buena Lectura,20,"Flórez, Julio",Creador,NA,Colombia,Lo que me dijo un esquéleto,2,octubre 15 de 1910,1910-10-15,No,NA,Español,NA,Prosa Ficción,Variedades,NA,NA,1.8,33-35
La Buena Lectura,21,"Marroquín, José Manuel",Creador,NA,Colombia,El Azote de Bogotá,2,octubre 15 de 1910,1910-10-15,No,NA,Español,NA,Prosa Ficción,Variedades,NA,NA,2.5,35-37
