NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Hispania,NA,Anónimo,Creador,NA,NA,Contenido,Año I. Vol I. número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,1
Hispania,NA,Anónimo,Redactor,La redacción,NA,Hispania,Año I. Vol I. número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.3,1
Hispania,NA,"Pérez Triana, Santiago",Director,HISPANO,Colombia,Notas editoriales,Año I. Vol I. número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,Notas editoriales,NA,NA,1.3,1-2
Hispania,NA,Anónimo,Creador,NA,NA,Amenidades de Mr. Roosevelt,Año I. Vol I. número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,Editoriales,NA,NA,3.2,3-6
Hispania,NA,"Pérez Triana, Santiago",Director,NA,Colombia,Voracidad imperialista,Año I. Vol I. número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,Editoriales,NA,NA,0.5,6
Hispania,NA,"Unamuno, Miguel de",Creador,NA,España,La filosofía republicana española,Año I. Vol I. número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,Artículos generales,NA,NA,1.5,6-8
Hispania,NA,"Pérez, Enrique",Creador,NA,NA,Fraternidad del mundo hispano. Parlante,Año I. Vol I. número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,Artículos generales,NA,NA,1,8-9
Hispania,NA,"Cunninghame Graham, Robert Bontie",Creador,R. B. Cunninghame Graham,Reino Unido,El río de la plata,Año I. Vol I. número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa Ficción,Artes y letras,NA,NA,2,9-11
Hispania,NA,"Silva, José Asunción",Creador,NA,Colombia,Futura (Inédita),Año I. Vol I. número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Poesía,Artes y letras,NA,NA,0.3,11
Hispania,NA,"Suárez, Marco Fidel",Creador,NA,Colombia,Lengua imperial,Año I. Vol I. número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,Artes y letras,NA,NA,0.3,11
Hispania,NA,Anónimo,Creador,F.R.V.,NA,La escasez de carne en el mundo,Año I. Vol I. número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,Valores y mercados,NA,NA,0.5,11-12
