NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Revista Moderna. (Enciclopedia colombiana),1,Anónimo,Creador,NA,NA,Revista Moderna. (Enciclopedia colombiana),1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,Indice de autores,NA,NA,2,NA
Revista Moderna. (Enciclopedia colombiana),2,Anónimo,Creador,NA,NA,Índice de autores,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2,NA
Revista Moderna. (Enciclopedia colombiana),3,Anónimo,Director,La dirección,Colombia,Revista Moderna,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,03.5,1-4
Revista Moderna. (Enciclopedia colombiana),4,"Goyau, Georges",Creador,NA,Francia,Un nuevo pontificado,1,Enero de 1915,1915-01-01,Sí,Anónimo,Español,Francés,Prosa No Ficción,NA,NA,NA,13.5,4-18
Revista Moderna. (Enciclopedia colombiana),5,"Carreño, Pedro M.",Creador,NA,Colombia,Desde Londres,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,6,19-24
Revista Moderna. (Enciclopedia colombiana),6,"Serao, Matilde",Creador,NA,Grecia,Poema de una noche de amor,1,Enero de 1915,1915-01-01,Sí,Revista Moderna,Español,Italiano,Prosa Ficción,Novela,NA,NA,13,25-42
Revista Moderna. (Enciclopedia colombiana),7,"Restrepo Tirado, Ernesto",Creador,NA,Colombia,Sinsabores. De Gonzalo de Oviedo en tierra firme,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,14,43-56
Revista Moderna. (Enciclopedia colombiana),8,"Caro, Miguel Antonio",Creador,NA,Colombia,¡Mío¡,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Poesía,Soneto,NA,NA,0.5,57
Revista Moderna. (Enciclopedia colombiana),9,"Caro, Miguel Antonio",Creador,NA,Colombia,Vida y muerte,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Poesía,Soneto,NA,NA,0.5,57
Revista Moderna. (Enciclopedia colombiana),10,"Cuervo Márquez, Emilio",Director,NA,Colombia,Revista Política,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,10.2,58-68
Revista Moderna. (Enciclopedia colombiana),11,"Urdaneta Ramos, Alfredo",Director,NA,Colombia,Preliminares de la guerra,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,8.7,68-76
Revista Moderna. (Enciclopedia colombiana),12,Anónimo,Creador,NA,NA,Revista Moderna,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,De la ciudad,NA,NA,0.2,77
Revista Moderna. (Enciclopedia colombiana),13,Anónimo,Director,La dirección,Colombia,Cámara de comercio,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,De la ciudad,NA,NA,1,77-78
Revista Moderna. (Enciclopedia colombiana),14,Anónimo,Director,La dirección,Colombia,Junta central de higiene,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,De la ciudad,NA,NA,0.5,78
Revista Moderna. (Enciclopedia colombiana),15,Anónimo,Creador,NA,NA,Obito,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,De la ciudad,NA,NA,0.2,78
Revista Moderna. (Enciclopedia colombiana),16,Anónimo,Director,La dirección,Colombia,Concurso de historia,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,De la ciudad,NA,NA,0.2,79
Revista Moderna. (Enciclopedia colombiana),17,Anónimo,Director,La dirección,Colombia,Consejo de Estado,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,De la ciudad,NA,NA,0.2,79
Revista Moderna. (Enciclopedia colombiana),18,Anónimo,Director,La dirección,Colombia,Aguas de Bogotá,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,De la ciudad,NA,NA,1,79-80
Revista Moderna. (Enciclopedia colombiana),19,Anónimo,Director,La dirección,Colombia,Ministro del tesoro,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,De la ciudad,NA,NA,0.2,80
Revista Moderna. (Enciclopedia colombiana),20,Anónimo,Director,La dirección,Colombia,Duplicación de impuestos,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,De la ciudad,NA,NA,0.3,80
Revista Moderna. (Enciclopedia colombiana),21,Anónimo,Director,La dirección,Colombia,Las capitales de la gran colombia,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Reseña,Bibliografía,NA,"Las capitales de la gran Colombia,  por Alberto Gutiérrez ",0.5,81
Revista Moderna. (Enciclopedia colombiana),22,Anónimo,Director,La dirección,Colombia,La Gitana. Poema dramático,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Reseña,Bibliografía,NA,La Gitana. Poema dramático por Miguel Santiago Valencia,0.2,81
Revista Moderna. (Enciclopedia colombiana),23,Anónimo,Director,La dirección,Colombia,Biografía de Córdoba,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Reseña,Bibliografía,NA,Biografía de Córdoba por Eduardo Posada,0.4,81-82
Revista Moderna. (Enciclopedia colombiana),24,Anónimo,Director,La dirección,Colombia,Archivo Santander,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Reseña,Bibliografía,NA,Archivo Santander,0.4,82
Revista Moderna. (Enciclopedia colombiana),25,Anónimo,Director,La dirección,Colombia,The private Life of Imperor William II and Consort,1,Enero de 1915,1915-01-01,Sí,Anónimo,Español,Inglés,Reseña,Bibliografía,NA,"The private Life of Emperor William II and Consort, by Henry W. Fisher",0.5,82
Revista Moderna. (Enciclopedia colombiana),26,Anónimo,Creador,NA,NA,NA,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Publicidad,NA,NA,NA,2,NA
Revista Moderna. (Enciclopedia colombiana),27,Anónimo,Director,La dirección,Colombia,Páginas olvidadas,1,Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,NA
Revista Moderna. (Enciclopedia colombiana),28,Anónimo,Director,La dirección,Colombia,Revista Moderna. (Enciclopedia colombiana),2,Febrero de 1915,1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2,NA
Revista Moderna. (Enciclopedia colombiana),29,Anónimo,Creador,NA,NA,NA,2,Febrero de 1915,1915-02-01,No,NA,Español,NA,Publicidad,NA,NA,NA,4,NA
Revista Moderna. (Enciclopedia colombiana),30,"Márquez Cuervo, Carlos",Creador,NA,Colombia,Asuntos suramericanos,2,Febrero de 1915,1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,6,83-88
Revista Moderna. (Enciclopedia colombiana),31,"Dahlgren, E.N.",Creador,NA,NA,Cómo se venía de España a Cartagena hace doscientos años,2,Febrero de 1915,1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,14.5,89-103
