NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Cvltura. Revista mensual,1,"López de Mesa, Luis",Director,NA,Colombia,PROBLEMAS METAFISICOS,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,18.8,1-20
Cvltura. Revista mensual,2,"Hawthorne, Nathaniel",Creador,NA,Estados Unidos,EL VELLOCINO DE ORO,1,"FEBRERO, MCMXV",1915-02-01,Sí,"Coradine, Alberto",Español,Inglés,Prosa Ficción,NA,NA,NA,04.5,23-27
Cvltura. Revista mensual,3,"Escobar Larrazábal, Melitón",Editor,"Escobar Larrazábal, M.",Colombia,LA TOPOGRAFIA DE LAS FRONTERAS. Ensayo sobre los elementos para una inteligencia en materia de limites,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,Ensayo,NA,NA,15.3,27-42
Cvltura. Revista mensual,4,"Coradine, Alberto",Editor,NA,NA,LAS DOS LOGICAS,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,03.2,43-46
Cvltura. Revista mensual,5,"Rivas, Raimundo",Editor,NA,Colombia,MEMORANDUM SOBRE LAS RELACIONES ENTRE COLOMBIA Y LA SANTA SEDE (Desde 1810),1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,18.8,46-64
Cvltura. Revista mensual,6,"Lemaître, Jules",Creador,NA,Francia,ANNA SOROR,1,"FEBRERO, MCMXV",1915-02-01,Sí,Anónimo,Español,Francés,Prosa Ficción,NA,NA,NA,06.7,65-71
Cvltura. Revista mensual,7a,"Nieto Caballero, Agustín",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,7b,"Aparicio, Alberto",Editor,NA,NA,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,7c,"Coradine, Alberto",Editor,NA,NA,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,7d,"Paláu, Alfonso",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,7e,"Molina Garcés, Ciro",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,7f,"López de Mesa, Luis",Director,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,7g,"Carvajal, Manuel Antonio",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,7h,"Escobar Larrazábal, Melitón",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,7i,"Valencia, Miguel Santiago",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,7j,"Rivas, Raimundo",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,7k,"Rueda Vargas, Tomás",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,8,"Coradine, Alberto",Editor,NA,NA,LA VOLUNTAD DE VIVIR,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,07.6,75- 82
Cvltura. Revista mensual,9,"Castillo, Eduardo",Creador,"Castillo, E.",NA,ENCANTAMIENTO,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Poesía,NA,"López de Mesa, Luis",NA,0.5,83
Cvltura. Revista mensual,10,"Castillo, Eduardo",Creador,"Castillo, E.",NA,A LA JUVENTUD,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Poesía,NA,"Restrepo Rivera, José",NA,0.5,83
Cvltura. Revista mensual,11,"Pardo Farelo, Enrique",Creador,"Tablanca, Luis",Colombia,DOBLE QUEBRANTO,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,03.6,84-87
Cvltura. Revista mensual,12,"Nieto Caballero, Agustín",Editor,NA,Colombia,EDUCACION DEL ESPIRITU,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,8,88-95
Cvltura. Revista mensual,13,"Escobar Larrazábal, Melitón",Editor,"Escobar Larrazábal, M.",Colombia,LAS BASES DEL DERECHO TERRITORIAL,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,20.5,96-116
Cvltura. Revista mensual,14,"D'Ors, Eugenio",Creador,NA,España,PALACIO DE LOCO,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa Ficción,NA,"Massó, Jaime y Torrents",NA,03.5,117-120
Cvltura. Revista mensual,15,"Asbjørnsen, Peter Christen",Creador,NA,Noruega,LOS HOMBRES NECIOS Y LAS MALAS COMADRES,2,"MARZO, MCMXV",1915-03-01,Sí,Anónimo,Español,Inglés,Prosa Ficción,NA,NA,NA,02.6,121-123
Cvltura. Revista mensual,16,"Carvajal, Manuel Antonio",Editor,"Carvajal, M.A",Colombia,EL MODERNISMO LITERARIO EN LA AMERICA LATINA,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,11.7,124-135
Cvltura. Revista mensual,17,"López de Mesa, Luis",Director,López de Mesa.,Colombia,LO TRASCENDENTE,2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,8,136-143
Cvltura. Revista mensual,18,"Rivas, Raimundo",Editor,NA,Colombia,MEMORANDUM SOBRE LAS RELACIONES ENTRE COLOMBIA Y LA SANTA SEDE (Desde 1810),2,"MARZO, MCMXV",1915-03-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,3,144-146
Cvltura. Revista mensual,19,"Paláu, Alfonso",Editor,NA,Colombia,LA CRISIS FISCAL Y LOS IMPUESTOS DE CONSUMO,3,"ABRIL, MCMXV",1915-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,02.2,149- 151
Cvltura. Revista mensual,20,"Rivas, Raimundo",Editor,NA,Colombia,CONSIDERACIONES SOBRE LA HISTORIA NACIONAL,3,"ABRIL, MCMXV",1915-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,10.5,152-162
Cvltura. Revista mensual,21,"Coradine, Alberto",Editor,NA,NA,LA VISION DE LAS RIQUEZAS,3,"ABRIL, MCMXV",1915-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,06.5,163-169
Cvltura. Revista mensual,22,"Mateus, Jorge",Creador,NA,NA,"EL REY INDIO, MI ABUELO",3,"ABRIL, MCMXV",1915-04-01,No,NA,Español,NA,Prosa Ficción,NA,"Coradine, Alberto",NA,01.8,170-171
Cvltura. Revista mensual,23,Teócrito,Creador,NA,Grecia,LAS SIRACUSANAS (UNA FIESTA DE ADONIS),3,"ABRIL, MCMXV",1915-04-01,Sí,Anónimo,Español,Griego,Teatro,NA,NA,NA,4,172-175
Cvltura. Revista mensual,24,"Prevost, Marcel",Creador,NA,Francia,El ''KRACH'' DE LA BELLEZA,3,"ABRIL, MCMXV",1915-04-01,Sí,Anónimo,Español,Francés,Prosa No Ficción,NA,NA,NA,04.1,176-180
Cvltura. Revista mensual,25,"López de Mesa, Luis",Director,López de Mesa.,Colombia,EVOLUCION DEL PENSAMIENTO ONTOLÓGICO,3,"ABRIL, MCMXV",1915-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,14,181-193
