NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Panida,1,"Rendón, Ricardo",Ilustrador,R. Rendón B.,Colombia,Panida,1,15 de febrero de 1915,1915-02-15,No,NA,Español,NA,Imagen,NA,NA,NA,0.4,SD
Panida,2,Anónimo,Redactor,Redacción,Colombia,"""Panida""",1,15 de febrero de 1915,1915-02-15,No,NA,Español,NA,Publicidad,NA,NA,NA,0.5,SD
Panida,3,"Rodó, José Enrique",Creador,NA,Uruguay,En el álbum de un poeta,1,15 de febrero de 1915,1915-02-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.7,1
Panida,4,"Villa Carrasquilla, Jorge",Creador,M. Carré,Colombia,Una historia,1,15 de febrero de 1915,1915-02-15,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1,2
Panida,5,"Mejía Arango, José Félix",Creador,C. R. Pino,Colombia,Elegía,1,15 de febrero de 1915,1915-02-15,No,NA,Español,NA,Poesía,NA,NA,NA,1.1,2-3
Panida,6,"Remouchamps, Victor",Creador,NA,Francia,Nil Noir,1,15 de febrero de 1915,1915-02-15,Sí,"Restrepo Olarte, Jesús",Español,Francés,Poesía,NA,NA,NA,0.7,4
Panida,7,"Machado, Manuel",Creador,NA,España,"Granada, por Rusiñol",1,15 de febrero de 1915,1915-02-15,No,NA,Español,NA,Poesía,NA,NA,NA,0.6,5
Panida,8,"France, Anatole",Creador,NA,Francia,Cuento de Hadas,1,15 de febrero de 1915,1915-02-15,Sí,Anónimo,Español,Francés,Prosa No Ficción,NA,NA,NA,2,5-7
Panida,9,"Greiff, León de",Director,Leo LEGRIS,Colombia,La Balada de los Buhos Estáticos,1,15 de febrero de 1915,1915-02-15,No,NA,Español,NA,Poesía,NA,NA,NA,1.5,7-8
Panida,10,"Altenberg, Peter",Creador,NA,Austria,De diez y siete a treinta,1,15 de febrero de 1915,1915-02-15,Sí,Anónimo,Español,Alemán,Prosa Ficción,NA,NA,NA,1.4,9-10
Panida,11,"Jaramillo Arango, Rafael",Creador,Fernando Villalba,Colombia,Pan,1,15 de febrero de 1915,1915-02-15,No,NA,Español,NA,Poesía,NA,NA,NA,1,10-11
Panida,12,Anónimo,Creador,Cebrián de Amocete,Colombia,"Del libro ""Don Juan Manuel de Padilla""",1,15 de febrero de 1915,1915-02-15,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1.4,11-12
Panida,13,"Graf, Arturo",Creador,NA,Italia,Morte Regina,1,15 de febrero de 1915,1915-02-15,Sí,"Díez Canedo, Enrique",Español,Italiano,Poesía,NA,NA,NA,0.5,13
Panida,14,Anónimo,Creador,El Visir GULLIVER,Colombia,Al Crayon,1,15 de febrero de 1915,1915-02-15,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1.1,13-14
Panida,15,Anónimo,Redactor,⁂,Colombia,NA,1,15 de febrero de 1915,1915-02-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,15
Panida,16,Anónimo,Redactor,⁂,Colombia,NA,1,15 de febrero de 1915,1915-02-15,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,15
