NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Revista Contemporánea,1,Anónimo,Director,NA,NA,Sumario,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,NA
Revista Contemporánea,2,Anónimo,Anunciante,NA,NA,A. & S. RABAT,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA
Revista Contemporánea,3,Anónimo,Anunciante,NA,NA,PINEDA LOPEZ & Cía.,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.3,NA
Revista Contemporánea,4,Anónimo,Anunciante,NA,NA,L. R. FUENMAYOR & Co.,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.3,NA
Revista Contemporánea,5,Anónimo,Anunciante,NA,NA,FALSIFICACION,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.5,NA
Revista Contemporánea,6,Anónimo,Anunciante,NA,NA,BANCO DE BOLIVAR,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.5,NA
Revista Contemporánea,7,Anónimo,Anunciante,NA,NA,"Colegio Universitario de ""San Pedro Claver""",1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA
Revista Contemporánea,8,Anónimo,Anunciante,NA,NA,Almacén de Novedades de J. M. PASOS A.,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.2,NA
Revista Contemporánea,9,Anónimo,Anunciante,NA,NA,"Enciclopedia Universal Ilustrade ""Espasa""",1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA
Revista Contemporánea,10,Anónimo,Anunciante,NA,NA,COLEGIO DE LA ESPERANZA,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.2,NA
Revista Contemporánea,11,Anónimo,Anunciante,NA,NA,LA FERRETERÍA,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.5,NA
Revista Contemporánea,12,Anónimo,Anunciante,NA,NA,BARTOLOME MARTINEZ BOSSIO & Co.,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.3,NA
Revista Contemporánea,13,"Porras Troconis, Gabriel",Director,NA,Colombia,"LA REVOLUCION EN SANTA FÉ, CARACAS Y CARTAGENA.",1,Julio de 1916,1916-07-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,10,1-10
Revista Contemporánea,14,"Andrade, José Arturo",Creador,NA,Colombia,ALBIO TIBULO Y SUS ELEGIAS,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,10,11-20
Revista Contemporánea,15,"Vega, Fernando de la",Creador,NA,Colombia,Gómez Restrepo (Breves apuntes),1,Julio de 1916,1916-07-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,6,21-26
Revista Contemporánea,16,"Baralt, Rafael María",Creador,NA,Venezuela,RAFAEL M. BARALT EN LA ACADEMIA,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,17.4,27-44
Revista Contemporánea,17,"Porras Troconis, Gabriel",Director,NA,Colombia,"NOTAS ""SEMBLANZA DE DIEGO FALLON""",1,Julio de 1916,1916-07-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.6,44
Revista Contemporánea,18,Anónimo,Anunciante,NA,NA,He aquí el carro que en el viaje de Cartagena a Barranquilla demostró ser el REY DEL CAMINO,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.6,NA
Revista Contemporánea,19,Anónimo,Anunciante,NA,NA,"$ 50,00 oro Máquina CORONA Standard plegadiza.",1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA
Revista Contemporánea,20,Anónimo,Anunciante,NA,NA,DICCIONARIO ENCICLOPEDICO SALBAT,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA
Revista Contemporánea,21,Anónimo,Anunciante,NA,NA,J. M. GUTIERREZ VALERA,1,Julio de 1916,1916-07-01,No,NA,Español,NA,Publicidad,NA,NA,NA,0.3,NA
