NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Cyrano,1,"Gómez, Bernardo E.",Creador,NA,NA,Versos inéditos,1,1 de agosto de 1921,1921-08-01,No,NA,Español,NA,Poesía,NA,Cyrano,NA,0.3,7
Cyrano,2,"Gómez, Carlos E.",Creador,NA,NA,"""El puente de los suspiros""",1,1 de agosto de 1921,1921-08-01,No,NA,Español,NA,Prosa No Ficción,NA,"Mejía, Emiro",NA,0.7,7-8
Cyrano,3,"Vasco Gutiérrez, Eduardo",Creador,NA,Colombia,Esta tarde…..,1,1 de agosto de 1921,1921-08-01,No,NA,Español,NA,Poesía,NA,Cyrano,NA,0.2,8
Cyrano,4,"Gallego, Romualdo",Creador,NA,Colombia,Cornelia,1,1 de agosto de 1921,1921-08-01,No,NA,Español,NA,Prosa Ficción,Cuento,"Jaramillo Medina, Teresita",NA,1.7,8-10
Cyrano,5,"Montoya Gaviria, Emilio",Director,"Montoya Gaviria, Em.",Colombia,Al vivo,1,1 de agosto de 1921,1921-08-01,No,NA,Español,NA,Prosa Ficción,NA,"Jaramillo, Adán",NA,1.7,10
Cyrano,6,"Carvajal Quintero, Filiberto",Creador,NA,Colombia,Escribe,1,1 de agosto de 1921,1921-08-01,No,NA,Español,NA,Poesía,Poesía,NA,NA,0.2,11
Cyrano,7,"Agudelo, Gilberto",Creador,NA,Colombia,Dilución,1,1 de agosto de 1921,1921-08-01,No,NA,Español,NA,Poesía,Poesía,NA,NA,0.2,11
Cyrano,8,"Botero, Francisco",Creador,NA,Colombia,Por los que empiezan,1,1 de agosto de 1921,1921-08-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.4,11
Cyrano,9,"Vélez, Eladio",Ilustrador,E. Velez,Colombia,NA,1,1 de agosto de 1921,1921-08-01,No,NA,Español,NA,Imagen,NA,NA,NA,0.2,11
Cyrano,10,"Franco, Horacio",Creador,NA,Colombia,Al margen,1,1 de agosto de 1921,1921-08-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,12
Cyrano,11,Isaza,Ilustrador,Isaza,NA,NA,1,1 de agosto de 1921,1921-08-01,No,NA,Español,NA,Imagen,NA,NA,NA,0.3,12
