NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Sábado Revista Semanal,1,"Rendón, Ricardo",Creador,Rendón,Colombia,Ricardo Rendón,1,7 de mayo de 1921,1921-05-07,No,NA,NA,NA,Imagen,Autocaricatura,(Original para Sábado),NA,1,NA
Sábado Revista Semanal,2,Anónimo,Creador,NA,NA,Sociedad Editorial Literaria,1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA
Sábado Revista Semanal,3,Anónimo,Creador,NA,NA,"Primer concurso de ""Sábado"". Literatura femenina",1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Publicidad,NA,NA,NA,0.2,NA
Sábado Revista Semanal,4,"Restrepo Jaramillo, José Luis",Creador,NA,Colombia,El grupo escenico,1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,NA
Sábado Revista Semanal,5,Anónimo,Creador,Domingo Siete,NA,Sabatinas,1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,NA
Sábado Revista Semanal,6,Anónimo,Creador,NA,NA,Compañía Colombiana de Mutualidad,1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA
Sábado Revista Semanal,7,"Carrasquilla, Tomás",Creador,NA,Colombia,Sábado,1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Prosa No Ficción,NA,(Original para Sábado),NA,1.7,1-2
Sábado Revista Semanal,8,"Tejada Cano, Luis",Creador,NA,Colombia,Paternidad,1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Poesía,NA,(Carlos Arturo Jaramillo),NA,0.2,2
Sábado Revista Semanal,9,"Restrepo Rivera, Jesús",Creador,J. Restrepo Rivera,Colombia,Almas de Antaño. La venganza,1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Poesía,NA,(Ciro Mendía),NA,0.2,3
Sábado Revista Semanal,10,"Cano, Antonio José",Creador,A. J. Cano,Colombia,Madrigal de las Rosas,1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Poesía,NA,(Anita Moreno Vásquez),NA,0.2,3
Sábado Revista Semanal,11,Anónimo,Creador,NA,NA,Los niños,1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,3
Sábado Revista Semanal,12,Anónimo,Creador,NA,NA,Gustavo Greiffenstein Villa,1,7 de mayo de 1921,1921-05-07,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,3
Sábado Revista Semanal,13,Anónimo,Creador,NA,NA,Muertos ilustres,1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,3
Sábado Revista Semanal,14,Anónimo,Creador,NA,NA,Dr. Hernando Holguín y Caro,1,7 de mayo de 1921,1921-05-07,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,3
Sábado Revista Semanal,15,"Nieto Caballero, Luis Eduardo",Creador,"Nieto Caballero, L.E.",Colombia,Algunos conceptos sobre Ricardo Rendón,1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,4
Sábado Revista Semanal,16,Anónimo,Creador,NA,NA,Lo que dejó DON LOPE del poeta Eduardo Castillo,1,7 de mayo de 1921,1921-05-07,No,NA,NA,NA,Imagen,NA,(Para Sábado),NA,0.2,4
Sábado Revista Semanal,17,Anónimo,Creador,NA,NA,El grupo escenico,1,7 de mayo de 1921,1921-05-07,No,NA,NA,NA,Imagen,NA,NA,NA,1,5
Sábado Revista Semanal,18,"Villa López, Francisco",Creador,F. Villa Lopez,Colombia,"Los cuentos de ""Sábado"". La bola de la felicidad",1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Prosa Ficción,Cuento,NA,NA,1.7,6-7
Sábado Revista Semanal,19,"Mejía Arango, José Félix",Creador,Pepe Mejía,Colombia,NA,1,7 de mayo de 1921,1921-05-07,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,6
Sábado Revista Semanal,20,Anónimo,Creador,NA,NA,La Fiesta del Trabajo en Medellín,1,7 de mayo de 1921,1921-05-07,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,8
Sábado Revista Semanal,21,Anónimo,Creador,NA,NA,Notas sociales: matrimonios,1,7 de mayo de 1921,1921-05-07,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,8
Sábado Revista Semanal,22,Anónimo,Creador,NA,NA,NA,1,7 de mayo de 1921,1921-05-07,No,NA,Español,NA,Publicidad,NA,NA,NA,6,NA
Sábado Revista Semanal,1,"Rendón, Ricardo",Creador,Rendón,Colombia,Tomás Carrasquilla,2,14 de mayo de 1921,1921-05-14,No,NA,NA,NA,Imagen,NA,NA,NA,1,NA
Sábado Revista Semanal,2,Anónimo,Creador,NA,NA,La Estatua de Bolívar en Nueva York,2,14 de mayo de 1921,1921-05-14,No,NA,NA,NA,Imagen,NA,NA,NA,1,NA
Sábado Revista Semanal,3,Anónimo,Creador,Domingo Siete,NA,Sabatinas,2,14 de mayo de 1921,1921-05-14,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.5,NA
Sábado Revista Semanal,4,Anónimo,Creador,NA,NA,"Primer concurso de ""Sábado"". Literatura femenina",2,14 de mayo de 1921,1921-05-14,No,NA,Español,NA,Publicidad,NA,NA,NA,0.7,NA
Sábado Revista Semanal,5,Anónimo,Creador,Kempis,NA,Pensamientos,2,14 de mayo de 1921,1921-05-14,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,NA
Sábado Revista Semanal,6,"Vives, Luis",Creador,NA,Colombia,Pensamientos,2,14 de mayo de 1921,1921-05-14,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,NA
Sábado Revista Semanal,7,Anónimo,Creador,NA,NA,NA,2,14 de mayo de 1921,1921-05-14,No,NA,Español,NA,Publicidad,NA,NA,NA,0.5,NA
