NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Caminos. Revista Quincenal de Letras,1,"García Herreros, Manuel",Director,NA,Colombia,Caminos…,1,1 de febrero de 1922,1922-02-01,No,No,Español,NA,Prosa No Ficción,NA,NA,NA,1,1
Caminos. Revista Quincenal de Letras,2,"Vinyes, Ramón",Creador,NA,España,Luis Carlos López,1,1 de febrero de 1922,1922-02-01,No,No,Español,NA,Prosa No Ficción,NA,NA,NA,5.3,2-6
Caminos. Revista Quincenal de Letras,3,"Maragall, Joan",Creador,NA,España,Las montañas,1,1 de febrero de 1922,1922-02-01,Sí,"Maseras, Alfonso",Español,Catalán,Poesía,Poesía,NA,NA,1.7,6-7
Caminos. Revista Quincenal de Letras,4,"García Herreros, Manuel",Creador,NA,Colombia,Las lecturas de “Villa Lilia”,1,1 de febrero de 1922,1922-02-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,5,8-12
Caminos. Revista Quincenal de Letras,5,"Castañeda Aragón, Gregorio",Creador,NA,Colombia,Los poemas sobrios: El amor de la tierra,1,1 de febrero de 1922,1922-02-01,No,NA,Español,NA,Poesía,Poesía,NA,NA,0.7,13
Caminos. Revista Quincenal de Letras,6,"Castañeda Aragón, Gregorio",Creador,NA,Colombia,Los poemas sobrios: La voz ausente,1,1 de febrero de 1922,1922-02-01,No,NA,Español,NA,Poesía,Poesía,NA,NA,0.6,13-14
Caminos. Revista Quincenal de Letras,7,"Smith, Logan Pearsall",Creador,NA,Estados Unidos,Poemas: El Trigo,1,1 de febrero de 1922,1922-02-01,Sí,Anónimo,Español,Inglés,Poesía,Poesía,NA,NA,1,14-15
Caminos. Revista Quincenal de Letras,8,"Smith, Logan Pearsall",Creador,NA,Estados Unidos,Poemas: Cuestiones complejas,1,1 de febrero de 1922,1922-02-01,Sí,Anónimo,Español,Inglés,Poesía,Poesía,NA,NA,0.4,15
Caminos. Revista Quincenal de Letras,9,"Smith, Logan Pearsall",Creador,NA,Estados Unidos,Poemas: Bligh Haus,1,1 de febrero de 1922,1922-02-01,Sí,Anónimo,Español,Inglés,Poesía,Poesía,NA,NA,0.5,15-16
Caminos. Revista Quincenal de Letras,10,"Smith, Logan Pearsall",Creador,NA,Estados Unidos,Poemas: Mi buen amigo,1,1 de febrero de 1922,1922-02-01,Sí,Anónimo,Español,Inglés,Poesía,Poesía,NA,NA,0.8,16
