NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
La Revista,1,Anónimo,Ilustrador,NA,NA,Señora Angela Henao,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Imagen,NA,NA,NA,1,1
La Revista,2,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,1,2
La Revista,3,Anónimo,Creador,NA,NA,SE DESCORRE EL TELON,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,3
La Revista,4,Anónimo,Ilustrador,NA,NA,Calvin Coolindge,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Imagen,NA,NA,NA,0.1,4
La Revista,5,Anónimo,Ilustrador,NA,NA,Principe de Gales,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Imagen,NA,NA,NA,0.1,4
La Revista,6,Anónimo,Ilustrador,NA,NA,Stanley Baldwin,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Imagen,NA,NA,NA,0.1,4
La Revista,7,Anónimo,Ilustrador,NA,NA,Charles E. Hughes,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Imagen,NA,NA,NA,0.1,4
La Revista,8,Anónimo,Creador,Minimum,NA,SE PODRA VER A MILES DE MILLAS,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.3,4
La Revista,9,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,0.2,4
La Revista,10,Anónimo,Ilustrador,NA,NA,MR. RANGER,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Imagen,NA,NA,NA,0.1,4
La Revista,11,Anónimo,Creador,NA,NA,EL CLUB CAMPESTRE TRIUNFA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.5,5
La Revista,12,Anónimo,Ilustrador,NA,NA,"LA COPA DE ""EL COLOMBIANO""",N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Imagen,NA,NA,NA,0.2,5
La Revista,13,Anónimo,Creador,NA,NA,MODAS MASCULINAS,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.3,5
La Revista,14,Anónimo,Creador,NA,NA,"""BAJO LA HORRIDA OBSESIÓN DEL AUTOMOVIL DE LA MUERTE""",N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.5,6
La Revista,15,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,0.1,6
La Revista,16,Anónimo,Creador,NA,NA,Carnet del Reporter,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,7
La Revista,17,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,0.3,7
La Revista,18,Anónimo,Creador,NA,NA,INTERESANTES OPINIONES DE COOLIDGE SOBRE POLITICA INTERNACIONAL,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.5,8
La Revista,19,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,0.5,8
La Revista,20,"Rivero, Gonzalo",Creador,NA,NA,COMO SE LLEGA A MILLONARIO,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,9
La Revista,21,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,0.2,9
La Revista,22,Anónimo,Creador,NA,NA,GRANOS DE TRIGO,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.1,9
La Revista,23,"Villois, André",Creador,NA,Francia,EL CEREBRO DE ANATOLE FRANCE,N° 1,Jueves 5 de febrero de 1925,1925-02-05,Sí,Anónimo,Español,Francés,Prosa No Ficción,NA,NA,NA,0.5,10
La Revista,24,Anónimo,Creador,NA,NA,EL SINIESTRO DE PUERTO BERRIO. De las cenizas surgirá la ciudad moderna,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.5,10
La Revista,25,"Carrasquilla Mallarino, Eduardo",Creador,NA,Colombia,EL ALMA DEL PAISAJE,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa Ficción,Cuento,NA,NA,0.4,11
La Revista,26,"Álvarez Lleras, Antonio",Creador,NA,Colombia,"BEBE, EL GATO Y YO",N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.2,"11, 16"
La Revista,27,Anónimo,Creador,NA,NA,SEGURO ORIGINAL,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.4,"11, 12"
La Revista,28,"Quijano Mantilla, Joaquín",Creador,NA,Colombia,ALESSANDRI,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.4,12
La Revista,29,Anónimo,Creador,NA,NA,¿SE DEBE BEBER EN LAS COMIDAS?,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.1,12
La Revista,30,"Prada Navarro, Gloria de la",Creador,NA,España,LA COPLA ANDALUZA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Poesía,NA,NA,NA,0.1,12
La Revista,31,"Godoy Alcayaga, Lucila",Creador,"Mistral, Gabriela",Chile,A LOS NIÑOS,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.1,12
La Revista,32,Anónimo,Creador,NA,NA,DE JUSTICIA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,0.1,12
La Revista,33,Anónimo,Creador,NA,NA,"CONCEPTOS DE LA PRENSA SOBRE ""LA REVISTA""",N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.1,12
La Revista,34,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,1,13
La Revista,35,"Carlo, Adelia di",Creador,NA,Argentina,LECTURAS INFANTILES,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.2,14
La Revista,36,Anónimo,Ilustrador,NA,NA,CON MI SUEGRO,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Imagen,NA,NA,NA,0.3,14
La Revista,37,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,0.3,14
La Revista,38,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,0.2,14
La Revista,39,Anónimo,Ilustrador,Chavez,NA,APOLO,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Imagen,NA,NA,NA,0.2,15
La Revista,40,"Blomberg, Héctor Pedro",Creador,NA,Argentina,MARINERO,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Poesía,NA,NA,NA,0.3,15
La Revista,41,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,0.5,15
La Revista,42,Anónimo,Creador,NA,NA,EL MUNDO SOCIAL,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.4,16
La Revista,43,"González y Fernández, Anastasio Anselmo",Creador,"Miquis, Alejandro",España,COMPAÑÍA VIRGINIA FABREGAS,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.4,16
La Revista,44,"Burgos, Rafael",Creador,"Burgos, Raf.",Colombia,FANNY SCHILLER,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.1,16
La Revista,45,"Vega Escobar, H.",Creador,NA,NA,ESPERANZA DEL BARRERO,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.1,16
La Revista,46,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,1,17
La Revista,47,"Vionnet, Marthe",Creador,NA,Francia,REDUCIENDO EL TRAJE A SU MAS SIMPLE EXPRESION,N° 1,Jueves 5 de febrero de 1925,1925-02-05,Sí,Anónimo,Español,Francés,Prosa No Ficción,NA,NA,NA,0.4,18
La Revista,48,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,0.6,18
La Revista,49,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,1,19
La Revista,50,Anónimo,Creador,NA,NA,NA,N° 1,Jueves 5 de febrero de 1925,1925-02-05,No,NA,Español,NA,Publicidad,NA,NA,NA,1,20
La Revista,51,Anónimo,Ilustrador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Imagen,NA,NA,NA,1,1
La Revista,52,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,1,2
La Revista,53,Anónimo,Creador,NA,NA,NUESTRA DECADENCIA LITERARIA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,3
La Revista,54,Anónimo,Ilustrador,NA,NA,Señorita Ana Jaramillo,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Imagen,NA,NA,NA,0.2,3
La Revista,55,Anónimo,Creador,NA,NA,¡SENSACIONAL!,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,0.1,3
La Revista,56,Anónimo,Ilustrador,NA,NA,SILUETAS DE MUJER ANTIOQUEÑA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Imagen,NA,NA,NA,0.5,4
La Revista,57,"Mora, Mimí de",Creador,NA,NA,LA MODA DE PARIS,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.5,4
La Revista,58,Anónimo,Creador,Minimum,NA,UN ANTIOQUEÑO HACE EL VIAJE AL REDEDOR DEL MUNDO,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.5,5
La Revista,59,Anónimo,Creador,NA,NA,CURIOSO INVENTO,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.5,5
La Revista,60,"Gómez Escobar, Francisco",Creador,"Gómez, Efe",Colombia,"FRAGMENTO DEL 2° ACTO DEL DRAMA INEDITO DE EFE GOMEZ TITULADO ""GUAYABO NEGRO""",N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.9,6
La Revista,61,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,0.1,6
La Revista,62,Anónimo,Ilustrador,Chavez,NA,APOLO,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Imagen,NA,NA,NA,0.2,7
La Revista,63,"Sotela Bonilla, Rogelio",Creador,NA,Costa Rica,LA MADERA CANTA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Poesía,NA,NA,NA,0.3,7
La Revista,64,"Cano, Antonio José",Creador,NA,Colombia,RIMAS MORISCAS III,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Poesía,NA,NA,NA,0.2,7
La Revista,65,"Ory y Sevilla, Eduardo de",Creador,NA,España,BENDITO EL SOL,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Poesía,NA,NA,NA,0.1,7
La Revista,66,"Benavente, Jacinto",Creador,NA,España,CARTAS DE MUJERES,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Poesía,NA,NA,NA,0.2,7
La Revista,67,"Garrido Merino, Edgardo",Creador,NA,Chile,EL AMOR EN LA VENTANA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa Ficción,Cuento,NA,NA,1.3,8-9
La Revista,68,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,0.2,8
La Revista,69,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,0.5,9
La Revista,70,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,1,10
La Revista,71,Anónimo,Ilustrador,NA,NA,Sra. NELLIE DUPERLY,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Imagen,NA,NA,NA,0.1,11
La Revista,72,Anónimo,Creador,NA,NA,LAS HEROINAS POLITICAS,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.3,11
La Revista,73,Anónimo,Creador,NA,NA,A QUE EDAD ES VIEJA LA MUJER,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,11
La Revista,74,Anónimo,Ilustrador,NA,NA,Gral. LUCIO VELASCO,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Imagen,NA,NA,NA,0.1,11
La Revista,75,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,0.3,11
La Revista,76,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,1,12
La Revista,77,"Guillén, Alberto",Creador,NA,Perú,ENTREVISTA DE GUILLEN CON LINARES RIVAS,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,13
La Revista,78,Anónimo,Ilustrador,NA,NA,ESPERANCITA DEL BARRERO,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Imagen,NA,NA,NA,0.3,13
La Revista,79,Anónimo,Creador,NA,NA,COSAS DEL DADAISMO,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,14
La Revista,80,"Uncal, José María",Creador,NA,España,CAMPANAS DEL ALMA MIA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Poesía,NA,NA,NA,0.1,14
La Revista,81,"Lugones, Leopoldo",Creador,NA,Argentina,EL FRUTO DE LAS BIBLIOTECAS,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,14
La Revista,82,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,0.5,14
La Revista,83,"Jaramillo J., Pascual",Creador,NA,NA,AVICULTURA.-SELECCIÓN DE RAZAS,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.1,"15, 18"
La Revista,84,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,0.2,15
La Revista,85,"Medina, Vicente",Creador,NA,España,MI DISCURSO A LOS NIÑOS,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,16
La Revista,86,Anónimo,Ilustrador,NA,NA,LA SONRISA DE LA VIDA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Imagen,NA,NA,NA,0.1,16
La Revista,87,Anónimo,Creador,NA,NA,PARA REIR,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.1,16
La Revista,88,Anónimo,Ilustrador,NA,NA,Niñita Maruja Santamaría,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Imagen,NA,NA,NA,0.1,16
La Revista,89,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,0.5,16
La Revista,90,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,1,17
La Revista,91,Anónimo,Ilustrador,NA,NA,Dr. Luis Emilio Vásquez y Srta. María Arias,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Imagen,NA,NA,NA,0.3,18
La Revista,92,Anónimo,Creador,NA,NA,HAZ NOTICIOSO,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,18
La Revista,93,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,1,19
La Revista,94,Anónimo,Creador,NA,NA,CONVERSANDO CON EL PINTOR HAROLD PUTMAN BROWNE,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.7,20
La Revista,95,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,0.3,20
La Revista,96,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,1,21
La Revista,97,Anónimo,Creador,NA,NA,NA,N° 4,Jueves 26 de febrero de 1925,1925-02-26,No,NA,Español,NA,Publicidad,NA,NA,NA,1,22
La Revista,98,Anónimo,Ilustrador,NA,NA,Señorita Carlota Sañudo Uribe,N° 5,Jueves 5 de marzo de 1925,1925-03-05,No,NA,Español,NA,Imagen,NA,NA,NA,1,1
La Revista,99,Anónimo,Creador,NA,NA,NA,N° 5,Jueves 5 de marzo de 1925,1925-03-05,No,NA,Español,NA,Publicidad,NA,NA,NA,1,2
La Revista,100,Anónimo,Creador,NA,NA,NA,N° 5,Jueves 5 de marzo de 1925,1925-03-05,No,NA,Español,NA,Publicidad,NA,NA,NA,1,3
La Revista,101,Anónimo,Creador,NA,NA,NA,N° 5,Jueves 5 de marzo de 1925,1925-03-05,No,NA,Español,NA,Publicidad,NA,NA,NA,1,4
La Revista,102,Anónimo,Creador,NA,NA,SE CIERRAN LAS PUERTAS AL APACHISMO COMERCIAL,N° 5,Jueves 5 de marzo de 1925,1925-03-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.6,5
La Revista,103,"Mora Vásquez, José Manuel",Creador,NA,Colombia,"""PERDIDAS Y GANANCIAS"" COMEDIA DE CIRO MENDIA",N° 5,Jueves 5 de marzo de 1925,1925-03-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.1,"5, 8"
La Revista,104,"Vélez Vélez, Eladio",Ilustrador,E. Vélez,Colombia,Ciro Mendía,N° 5,Jueves 5 de marzo de 1925,1925-03-05,No,NA,Español,NA,Imagen,NA,NA,NA,0.1,5
La Revista,105,Anónimo,Ilustrador,NA,NA,NUEVA JUNTA DIRECTIVA DEL CUADRO DE HONOR DE LA S. DE M. P.,N° 5,Jueves 5 de marzo de 1925,1925-03-05,No,NA,Español,NA,Imagen,NA,NA,NA,1,6
La Revista,106,Anónimo,Creador,NA,NA,LABORES DEL CUADRO DE HONOR DE LA S. DE M. P.,N° 5,Jueves 5 de marzo de 1925,1925-03-05,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.8,7
