NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Athenea,1a,"Olózaga de Cabo, Susana",Director,NA,Colombia,NA,1,NA,1927-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,NA
Athenea,1b,"Restrepo Castro, Ana",Administrador,NA,Colombia,NA,1,NA,1927-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,NA
Athenea,2,Anónimo,Creador,NA,NA,Mujeres Diario de Dario,1,NA,1927-04-01,No,NA,Español,NA,Prosa No Ficción,Elogio,NA,NA,1.2,2
Athenea,3,Anónimo,Ilustrador,NA,NA,NA,1,NA,1927-04-01,No,NA,NA,NA,Imagen,NA,NA,NA,1.2,2
Athenea,4,Anónimo,Creador,V. de Lusich,NA,NA,1,NA,1927-04-01,No,NA,Español,NA,Prosa No Ficción,Elogio,NA,NA,0.7,2
Athenea,5,Anónimo,Ilustrador,NA,NA,NA,1,NA,1927-04-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,3
Athenea,6,"Gómez, Carlos E.",Creador,NA,NA,Protección Infantil,1,NA,1927-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.6,3
Athenea,7,"Amiel, Henri-Frédéric",Creador,Amiel,Suiza,Una lágrima,1,NA,1927-04-01,Sí,Anónimo,Español,Francés,Prosa No Ficción,NA,NA,NA,0.2,3
Athenea,8,Anónimo,Creador,NA,NA,La madre,1,NA,1927-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.6,4
Athenea,9,Anónimo,Ilustrador,NA,NA,NA,1,NA,1927-04-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,4
Athenea,10,"Uribe Vallejo, Fita",Creador,NA,Colombia,NA,1,NA,1927-04-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.1,4
Athenea,11,Susana,Creador,Susana,NA,Las modas. Ellas,1,NA,1927-04-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.6,5
Athenea,12,Anónimo,Ilustrador,NA,NA,NA,1,NA,1927-04-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,5
