NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Claridad: revista semanal,1,Anónimo,Anunciante,NA,NA,Chocolate Cruz,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Publicidad,Aviso,NA,NA,1,4
Claridad: revista semanal,2,"Yepes Morales, Jesús",Director,NA,Colombia,Editorial,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa No Ficción,Editorial,NA,NA,1,5
Claridad: revista semanal,3,"López Sanín, Jorge",Director,NA,Colombia,Técnicos,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,6
Claridad: revista semanal,4,"Gallego, Romualdo",Creador,NA,Colombia,Legislación industrial,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2,7-8
Claridad: revista semanal,5,"Posada Echeverri, José",Ilustrador,NA,Colombia,La cobra,1,Marzo 8 de 1930,1930-03-08,No,NA,NA,NA,Imagen,Apunte,NA,NA,1,9
Claridad: revista semanal,6,Doctor Stockmann,Creador,Doctor Stockmann,NA,Sociedades anónimas,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.2,11-12
Claridad: revista semanal,7,"Vélez Carmona, Juan Clímaco",Creador,J. C. V.,Colombia,Carlos A. Molina,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.8,12
Claridad: revista semanal,8,"Álvarez R., Lisandro",Creador,NA,Colombia,El único camino,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa Ficción,Cuento,NA,NA,2,13-14
Claridad: revista semanal,9,Anónimo,Reseñista,NA,NA,"""Viaje a pie"" y la crítica internacional",1,Marzo 8 de 1930,1930-03-08,Sí,Anónimo,Español,"Francés, Inglés",Reseña,Crítica,NA,Viaje a pie (1929) de Fernando González,3,15-17
Claridad: revista semanal,10,"Greiff, León de",Creador,NA,Colombia,Sonatina para flauta y piano en sol menor,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Poesía,NA,NA,NA,2,18-19
Claridad: revista semanal,11,Micromegas,Crítico,Micromegas,NA,Viaje a pie,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.3,20-21
Claridad: revista semanal,12,"García de la Barga y Gómez de la Serna, Andrés",Crítico,"Barga, Corpus",España,Cinematología,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2,21-23
Claridad: revista semanal,13,"Duque, Hernando",Creador,NA,Colombia,Radio,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.7,23-24
Claridad: revista semanal,14,Anónimo,Creador,NA,NA,Los grandes ingenieros: Alexandre Gustave Eiffel y la Torre Eiffel,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.5,25
Claridad: revista semanal,15,"Yerovi, Leonidas",Creador,NA,Perú,Recóndita,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Poesía,NA,NA,NA,1,26
Claridad: revista semanal,16,"Rodríguez, Melitón",Ilustrador,NA,Colombia,Margarita Rodríguez,1,Marzo 8 de 1930,1930-03-08,No,NA,NA,NA,Imagen,Fotografía,NA,NA,1,27
Claridad: revista semanal,17,"Mejía y Mejía, José",Creador,Jota,Colombia,Información financiera,1,Marzo 8 de 1930,1930-03-08,Sí,"Mejía y Mejía, José",Español,Inglés,Prosa No Ficción,Información financiera,NA,NA,2,29-30
Claridad: revista semanal,18,A. Z.,Creador,A. Z.,NA,Asamblea liberal,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa No Ficción,Nota,NA,NA,0.2,31
Claridad: revista semanal,19,Anónimo,Creador,NA,NA,Libro de signos,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa No Ficción,Nota,NA,NA,0.2,31
Claridad: revista semanal,20,Anónimo,Creador,NA,NA,Conferencia,1,Marzo 8 de 1930,1930-03-08,No,NA,Español,NA,Prosa No Ficción,Nota,NA,NA,0.5,31
