NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Revista Femenina,1,"Vallejo, Joaquín",Creador,NA,Colombia,"Carta a una alumna del Instituto Central Femenino, que puede ser cualquiera y deben ser todas",1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Prosa No Ficción,Carta,NA,NA,3,1-3
Revista Femenina,2,Anónimo,Ilustrador,NA,NA,"Excmo. Sr. Dr. Eduardo Santos, Presidente de la República",1 (Año I),Octubre de 1938,1938-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,1,NA
Revista Femenina,3,Anónimo,Ilustrador,NA,NA,Dr. Joaquin Vallejo,1 (Año I),Octubre de 1938,1938-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,1,NA
Revista Femenina,4,"Eastman, María",Creador,NA,Colombia,¿Cumplen las normales una función social?,1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,3,4-6
Revista Femenina,5,"Villegas, Aquilino",Creador,NA,Colombia,¡¡¡Epístola aburrida!!!,1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Prosa No Ficción,Epístola,NA,NA,6,7-12
Revista Femenina,6,"Mora Naranjo, Alfonso",Creador,NA,Colombia,Breves palabras en un homenaje del Central Femenino al doctor Joaquín Vallejo,1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,3,13-15
Revista Femenina,7,"Betancur, Cayetano",Creador,NA,Colombia,Sección de filosofía. La libertad y las ciencias sociales,1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,9,16-24
Revista Femenina,8,"González, José Ignacio",Creador,NA,Colombia,Sección de arte. Perfiles góticos: La catedral,1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,6,25-30
Revista Femenina,9,Anónimo,Ilustrador,NA,NA,Bisonte. -Cueva de Altamira. (Santander. Esp.),1 (Año I),Octubre de 1938,1938-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,NA
Revista Femenina,10,Anónimo,Ilustrador,NA,NA,Bisonte hembra saltando. -Cueva de Altamira. (Santander. Esp.),1 (Año I),Octubre de 1938,1938-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,NA
Revista Femenina,11,"Restrepo Gaviria, Tulia",Director,NA,Colombia,Nociones de historia del arte,1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Prosa No Ficción,Estudio,NA,NA,3,31-33
Revista Femenina,11,Anónimo,Ilustrador,NA,NA,Cerámica neolítica,1 (Año I),Octubre de 1938,1938-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,1,NA
Revista Femenina,12,"Finlayson, Clarence",Creador,NA,Chile,"Sección Literaria, a cargo de Clarence Finlayson. Amor y paisaje en Gabriela Mistral",1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Prosa No Ficción,NA,"Especialmente elaborado para la ""Revista Femenina""",NA,10,34-43
Revista Femenina,13,"Méndez Cuesta, Concepción",Creador,Concha Méndez,España,Poesías (Trasatlántico),1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Poesía,Poesías,NA,NA,1,44
Revista Femenina,13,"Méndez Cuesta, Concepción",Creador,Concha Méndez,España,Poesías (Malva y rosa),1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Poesía,Poesías,NA,NA,0.5,45
Revista Femenina,13,"Méndez Cuesta, Concepción",Creador,Concha Méndez,España,Poesías (Al nacer cada mañana),1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Poesía,Poesías,NA,NA,0.5,45
Revista Femenina,14,"Gómez, Angélica",Creador,NA,NA,Sección de Cultura Física (Finalidad de la cultura física en la actualidad),1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2,46-47
Revista Femenina,15,Anónimo,Ilustrador,NA,NA,Clase de cultura física-Instituto central femenino,1 (Año I),Octubre de 1938,1938-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,1,NA
Revista Femenina,15,Anónimo,Ilustrador,NA,NA,Piscina del central femenino,1 (Año I),Octubre de 1938,1938-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,1,NA
Revista Femenina,16,Anónimo,Creador,NA,NA,Sección-Vida escolar,1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,4,48-51
Revista Femenina,17,"Masur, Gerhard",Creador,NA,Alemania,María Curie -- Esbozo de su vida,1 (Año I),Octubre de 1938,1938-10-01,Sí,Anónimo,Español,Alemán,Prosa No Ficción,NA,"Especial para la ""Revista Femenina""",NA,10,52-61
Revista Femenina,18,"Lombardo Radice, Giuseppe",Creador,Lombardo Radice,Italia,Sección de Variedades (Las buenas lecturas y la higiene del alma),1 (Año I),Octubre de 1938,1938-10-01,Sí,Anónimo,Español,Italiano,Prosa No Ficción,NA,NA,NA,1.4,62-63
Revista Femenina,18,Anónimo,Ilustrador,NA,NA,Biblioteca del Central Femenino,1 (Año I),Octubre de 1938,1938-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,1,NA
Revista Femenina,19,"Line, Mary",Creador,NA,Francia,Sección de Variedades (El gusto y los colores),1 (Año I),Octubre de 1938,1938-10-01,Sí,Anónimo,Español,Francés,Prosa No Ficción,NA,NA,NA,1.6,63-64
Revista Femenina,20,Anónimo,Creador,NA,NA,Sección de Variedades (De como la música ejerce una influencia favorable sobre las personas),1 (Año I),Octubre de 1938,1938-10-01,Sí,Anónimo,Español,NA,Prosa No Ficción,NA,NA,NA,0.6,65
Revista Femenina,21,Anónimo,Creador,NA,NA,Sección de Variedades (En la conversación),1 (Año I),Octubre de 1938,1938-10-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1.4,65-66
Revista Femenina,22,Anónimo,Ilustrador,NA,NA,Comedor del Central Femenino,1 (Año I),Octubre de 1938,1938-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,1,NA
