NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Cántico,1,"Ibáñez, Jaime",Director,NA,Colombia,Jaime Ibáñez,"Año I, 1",1944,1944-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,1
Cántico,2,"Ibáñez, Jaime",Director,NA,Colombia,Sangre infinita,"Año I, 1",1944,1944-01-01,No,NA,Español,NA,Poesía,Poema,NA,NA,1,3
Cántico,3,"Ibáñez, Jaime",Director,NA,Colombia,Tácita doncella,"Año I, 1",1944,1944-01-01,No,NA,Español,NA,Poesía,Poema,"Carranza, Eduardo",NA,1,4
Cántico,4,"Ibáñez, Jaime",Director,NA,Colombia,Canción nostálgica,"Año I, 1",1944,1944-01-01,No,NA,Español,NA,Poesía,Poema,"Holguín, Andrés",NA,2,5-6
Cántico,5,"Ibáñez, Jaime",Director,NA,Colombia,Un día para siempre,"Año I, 1",1944,1944-01-01,No,NA,Español,NA,Poesía,Poema,NA,NA,2,7-8
Cántico,6,"Ibáñez, Jaime",Director,NA,Colombia,Tarde en el corazón,"Año I, 1",1944,1944-01-01,No,NA,Español,NA,Poesía,Poema,NA,NA,2,9-10
Cántico,7,"Ibáñez, Jaime",Director,NA,Colombia,"Ah, ven tú… ven tú…","Año I, 1",1944,1944-01-01,No,NA,Español,NA,Poesía,Poema,NA,NA,2,11-12
Cántico,8,"Ibáñez, Jaime",Director,NA,Colombia,Serenidad en la noche,"Año I, 1",1944,1944-01-01,No,NA,Español,NA,Poesía,Poema,"Rojas, Jorge",NA,1,13
Cántico,9,"Ibáñez, Jaime",Director,NA,Colombia,Claridad en el aire,"Año I, 1",1944,1944-01-01,No,NA,Español,NA,Poesía,Poema,NA,NA,1,14
Cántico,10,"Ibáñez, Jaime",Director,NA,Colombia,Caminos de la noche,"Año I, 1",1944,1944-01-01,No,NA,Español,NA,Poesía,Poema,"Charry Lara, Fernando",NA,2,15-16
Cántico,11,"Ibáñez, Jaime",Director,NA,Colombia,Resurrección del hombre,"Año I, 1",1944,1944-01-01,No,NA,Español,NA,Poesía,Poema,"López Narváez, Carlos",NA,2,17-18
Cántico,12,"Ibáñez, Jaime",Director,NA,Colombia,Poemilla,"Año I, 1",1944,1944-01-01,No,NA,Español,NA,Poesía,Poema,NA,NA,1,19
Cántico,13,"Ibáñez, Jaime",Director,NA,Colombia,Ver tus ojos,"Año I, 1",1944,1944-01-01,No,NA,Español,NA,Poesía,Poema,NA,NA,1,20
