"Colaborador","Frecuencia"
"Sanín Cano, Baldomero",147
"Pérez Triana, Santiago",136
"Rodríguez, Horacio Marino",123
"Greiff, Luis de",90
"Restrepo, Saturnino",87
"Laverde Amaya, Isidoro",77
"Cano, Francisco Antonio",65
"Mejía Arango, José Félix",65
"Rodríguez, Melitón",64
"Grillo, Maximiliano",63
"Tobón Mejía, Marco",62
"Zuluaga y Gutiérrez, Alfredo",62
"Restrepo Restrepo, Antonio María",61
"Greiff, León de",50
"Restrepo Laverde, Julio",50
"Castro, Alfonso",48
"Lalinde, Manuel A.",48
"Mesa, Rafael",44
"Velásquez García, José",44
"Londoño, Víctor Manuel",42
"López, Ismael",42
"Ospina Vásquez, Mariano",42
"López de Mesa, Luis",41
"Carrasquilla, Tomás",39
"Gómez Escobar, Francisco",38
"Vélez Barrientos, Lucrecio",37
"Herzig, George",35
"Porras Troconis, Gabriel",35
"Cano, Antonio José",34
"Espinosa Guzmán, Rafael",34
"Vélez Isaza, Bernardo",33
"García Herreros, Manuel",32
"López Gómez, Adel",32
"Carvajal, Manuel Antonio",30
"Rendón, Ricardo",28
"Silva, José Asunción",28
"Vinyes, Ramón",28
"Ibáñez, Jaime",27
"Valencia, Guillermo",27
"Cano Gutiérrez, Fidel",26
"Duque, Antonio de J.",26
"Gómez Barrientos, Estanislao",25
"Pérez, Enrique",25
"Restrepo Restrepo, Carlos Eugenio",25
"Nervo, Amado",24
"Sánchez, Alberto",24
"Unamuno, Miguel de",24
"Bernal, Luis",23
"Flórez, Julio",23
"Gómez Restrepo, Antonio",23
"Posada, Eduardo",23
"Nieto Caballero, Agustín",22
"Pardo Farelo, Enrique",22
"Rivas, Raimundo",22
"Vélez, Eladio",22
"Araquistáin, Luis",21
"Botero, Francisco",21
"Calle, Benjamín de la",21
"Cunninghame Graham, Robert Bontie",21
"Escobar Larrazábal, Melitón",21
"Franco, Horacio",21
"Cano, María",20
"D'Annunzio, Gabriele",20
"Darío, Rubén",20
"Fernández Avendaño, Enrique Wenceslao",20
"Gil, Rivero",20
"Marín, Abel",20
"Mejía Ángel, Carlos",20
"Uribe Ángel, Manuel",20
"Valencia, Francisco",20
"Márquez Bravo, Tomás",19
"Montoya, Antonio José",19
"Ponce Aguilera, Salomón",19
"Restrepo Tirado, Ernesto",19
"Vasco Gutiérrez, Eduardo",19
"Vélez Carmona, Juan Clímaco",19
"Latorre, Gabriel",18
"Obando Cardona, Jorge",18
"Velásquez Botero, Samuel",18
"Yepes Morales, Jesús",18
"Blanco Fombona, Rufino",17
"Caro, José Eusebio",17
"Holguín, Andrés",17
"Restrepo, Vicente",17
"Rivas Frade, Federico",17
"Umaña Bernal, José",17
"Uribe, Diego",17
"Vilariño, Remigio",17
"Acosta, Javier",16
"Barrenechea, Julio",16
"Carvajal Borrero, Mario",16
"Echeverri, Camilo Antonio",16
"Fort, Paul",16
"Henao, Federico Carlos",16
"Jaramillo Medina, Francisco",16
"Paláu, Alfonso",16
"Pereira Gamba, Próspero",16
"Restrepo Rivera, Jesús",16
"Tagore, Rabindranath",16
"Ballvé, Faustino",15
"Cano, Luis",15
"Duperly, Oscar",15
"Duque Uribe, Rafael",15
"Martínez Sierra, Gregorio",15
"Nieto, Ricardo",15
"Wilde, Oscar",15
"Botero Ruiz, Juan José",14
"Caro, Miguel Antonio",14
"Duque Bernal, Augusto",14
"Gallego, Romualdo",14
"Heredia, José-Maria de",14
"León Gómez, Adolfo",14
"López, Luis Carlos",14
"Molina Garcés, Ciro",14
"Restrepo Jaramillo, José Luis",14
"Uribe Vallejo, Fita",14
"Vidal, Gonzalo",14
"Arciniegas, Ismael Enrique",13
"Arturo, Aurelio",13
"Betancourt, José Luis",13
"Castañeda Aragón, Gregorio",13
"D'Ors, Eugenio",13
"Escovar Gaviria, Gonzalo",13
"González Blanco, Andrés",13
"Marroquín, José Manuel",13
"Merizalde Uribe, Antonio",13
"Ospina Vásquez, Tulio",13
"Ramírez Monsalve, Joaquín Guillermo",13
"Rojas, Jorge",13
"Alzate Noreña, Luis",12
"Betancourt Villegas, Félix",12
"Castro, Eugenio de",12
"García Lorca, Federico",12
"Gerbasi, Vicente",12
"Greiff, Otto de",12
