"Colaborador","Roles","Sexo.x","PaisOrigen.x","Nacimiento.x","Muerte.x","NombreR","Titulo","Fecha.ISO","Tipo","CantidadPaginas","Traduccion","Traductor"
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Homilia N.°I.","1906-03-01","Prosa No Ficción",14.5,"No",NA
"Schiller, Friedrich","Creador","M","Alemania","1759","1805","Alpha","El guante","1906-03-01","Poesía",2,"Sí","Latorre, Gabriel"
"Villiers de L'Isle-Adam, Auguste de","Creador","M","Francia","1838","1889","Alpha","Vox Populi","1906-03-01","Prosa Ficción",3,"Sí","Restrepo Restrepo, Carlos Eugenio"
"Uribe, Joaquín Antonio","Creador","M","Colombia","1858","1935","Alpha","Cuadros de la Naturaleza. Las Hormigas","1906-03-01","Prosa Ficción",2,"No",NA
"Gaviria, José A.","Creador","M","Colombia","","","Alpha","Napoles (de una cartera de viajes)","1906-03-01","Prosa Ficción",3,"No",NA
"Altenberg, Peter","Creador","M","Austria","1859","1919","Alpha","Doce Años","1906-03-01","Prosa Ficción",1.5,"Sí","Anónimo"
"Montoya, José","Director",NA,NA,NA,NA,"Alpha","Crónica literaria","1906-03-01","Prosa No Ficción",0.5,"No",NA
"Montoya, José","Director",NA,NA,NA,NA,"Alpha","Crónica literaria","1906-03-01","Reseña",3.5,"No",NA
"Montoya, José","Director",NA,NA,NA,NA,"Alpha","Crónica literaria","1906-03-01","Reseña",1.5,"No",NA
"Montoya, José","Director",NA,NA,NA,NA,"Alpha","Crónica literaria","1906-03-01","Prosa No Ficción",0.5,"No",NA
"Montoya, José","Director",NA,NA,NA,NA,"Alpha","Crónica literaria","1906-03-01","Reseña",1.8,"No",NA
"Montoya, José","Director",NA,NA,NA,NA,"Alpha","Crónica literaria","1906-03-01","Reseña",1.3,"No",NA
"Montoya, José","Creador",NA,NA,NA,NA,"Alpha","Crónica literaria","1906-03-01","Prosa No Ficción",0.7,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Para empezar","1906-03-01","Prosa No Ficción",1.5,"No",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Alpha","La Revista Contemporánea","1906-03-01","Reseña de revista",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Homenaje","1906-03-01","Prosa No Ficción",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","""Lectura y Arte""","1906-03-01","Prosa Ficción",0.5,"No",NA
"Martínez Sierra, Gregorio","Crítico","M","España","1881","1947","Alpha","La tristeza del  Quijote","1906-04-01","Prosa No Ficción",9,"No",NA
"Restrepo Restrepo, Antonio María","Creador","M","Colombia","1875","1921","Alpha","El monologo de todos los días","1906-04-01","Poesía",2,"No",NA
"Maragall, Juan","Crítico","M","España","1860","1911","Alpha","Escritor","1906-04-01","Prosa No Ficción",3,"No",NA
"Restrepo, Saturnino","Creador","M","Colombia","1877","1961","Alpha","El enemigo (Fragmento)","1906-04-01","Prosa Ficción",9,"No",NA
"Jaramillo, Bernardo","Creador","M","Colombia","1884","1952","Alpha","Serenata","1906-04-01","Poesía",2,"No",NA
"Cano Gutiérrez, Fidel","Crítico","M","Colombia","1854","1919","Alpha","Carneros emisarios","1906-04-01","Prosa No Ficción",5,"No",NA
"Medina, Vicente","Creador","M","España","1866","1937","Alpha","¡To Pomporica!","1906-04-01","Poesía",2,"No",NA
"Restrepo, Saturnino","Creador","M","Colombia","1877","1961","Alpha","Desfile de alumnos","1906-04-01","Prosa No Ficción",2.8,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Nota importante","1906-04-01","Prosa No Ficción",0.4,"No",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Alpha","Un libro útil","1906-04-01","Reseña",0.4,"No",NA
"Grillo, Maximiliano","Crítico","M","Colombia","1868","1949","Alpha","Contra-Homilia","1906-05-01","Prosa No Ficción",4,"No",NA
"Poe, Edgar Allan","Creador","M","Estados Unidos","1809","1849","Alpha","A Elena","1906-05-01","Poesía",3,"Sí","Latorre, Gabriel"
"Rendón, Francisco de Paula","Creador","M","Colombia","1855","1917","Alpha","El palacio de la felicidad","1906-05-01","Prosa Ficción",11,"No",NA
"Ospina Vásquez, Mariano","Creador","M","Colombia","1869","1941","Alpha","Talvez…","1906-05-01","Poesía",0.5,"No",NA
"Ospina Vásquez, Mariano","Creador","M","Colombia","1869","1941","Alpha","Tregua","1906-05-01","Poesía",0.5,"No",NA
"Uribe, Joaquín Antonio","Creador","M","Colombia","1858","1935","Alpha","Cuadros de la Naturaleza. Los pájaros","1906-05-01","Prosa Ficción",1.7,"No",NA
"Villegas, Aquilino","Creador","M","Colombia","1880","1940","Alpha","Balbuceos primaverales","1906-05-01","Poesía",2,"No",NA
"Wilde, Oscar","Creador","M","Irlanda","1854","1900","Alpha","El ermitaño","1906-05-01","Prosa Ficción",3,"Sí","Anónimo"
"Blasco Ibáñez, Vicente","Creador","M","España","1867","1928","Alpha","Apoteosis del mármol","1906-05-01","Prosa Ficción",4,"No",NA
"Soto Borda, Clímaco","Creador","M","Colombia","1870","1919","Alpha","Bien Faire et laisser dire","1906-05-01","Poesía",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","J.M. de Heredia","1906-05-01","Prosa No Ficción",1.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Marcel Schwob","1906-05-01","Prosa No Ficción",1,"No",NA
"Restrepo, Saturnino","Crítico","M","Colombia","1877","1961","Alpha","Los libros y el crimen","1906-05-01","Prosa No Ficción",2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","""Entrañas de niño""","1906-05-01","Prosa No Ficción",0.2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Gracias","1906-05-01","Prosa No Ficción",0.3,"No",NA
"Betancourt Villegas, Félix","Creador","M","Colombia","1872","1948","Alpha","Sobre sociotecnia","1906-06-01","Prosa No Ficción",8,"No",NA
"Ospina Vásquez, Mariano","Creador","M","Colombia","1869","1941","Alpha","Febrero antioqueño (Sensación de paisaje)","1906-06-01","Poesía",1,"No",NA
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Estrañas de niño","1906-06-01","Prosa Ficción",8.5,"No",NA
"Robledo, Eusebio","Creador","M","Colombia","1872","1926","Alpha","Sibila","1906-06-01","Poesía",4,"No",NA
"Castro, Alfonso","Crítico","M","Colombia","1878","1943","Alpha","De crítica","1906-06-01","Prosa No Ficción",7,"No",NA
"Montoya Pérez, Rafael","Creador","M","Colombia","1883","","Alpha","Rayo de sol","1906-06-01","Prosa Ficción",2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","La tierra ""maternal""","1906-06-01","Prosa No Ficción",2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","El espectro","1906-06-01","Prosa No Ficción",1,"No",NA
"Anónimo","Crítico",NA,NA,NA,NA,"Alpha","Arte nacional","1906-06-01","Prosa No Ficción",0.6,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Centro Artístico","1906-06-01","Prosa No Ficción",0.1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Publicaciones recibidas","1906-06-01","Prosa No Ficción",0.3,"No",NA
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Entrañas de niño","1906-07-01","Prosa Ficción",11,"No",NA
"Cano Gutiérrez, Fidel","Creador","M","Colombia","1854","1919","Alpha","Concursos de 1906. Informe del jurado calificador","1906-07-01","Prosa No Ficción",8,"No",NA
"Hoyos, Sebastián","Creador","M","Colombia","1849","1907","Alpha","Concursos de 1906. Informe del jurado calificador","1906-07-01","Prosa No Ficción",8,"No",NA
"Betancourt Villegas, Félix","Creador","M","Colombia","1872","1948","Alpha","Concursos de 1906. Informe del jurado calificador","1906-07-01","Prosa No Ficción",8,"No",NA
"Cruz, Jorge de la","Creador","M","Colombia","1904","1952","Alpha","Baldosas y terrones","1906-07-01","Prosa Ficción",8,"No",NA
